# http://fitlayout.github.io/resource/art3 -> https://www.imdb.com/title/tt0285331/fullcredits/
character=Jack Bauer	name=Kiefer Sutherland	episodes=195 episodes, 2001-2010 	
character=Alex Hewitt	name=Rick D. Wasserman	episodes=2 episodes, 2003 	
character=William Cole	name=Patrick Fabian	episodes=2 episodes, 2004 	
character=Melissa Rabb	name=Gwendoline Yeo	episodes=2 episodes, 2005 	
character=Vice President Mitchell Hayworth	name=Cameron Daddo	episodes=2 episodes, 2009 	
character=Alan Hayes	name=Jesse D. Goins	episodes=2 episodes, 2002 	
character=Danny Dessler	name=Louis Ferreira	episodes=2 episodes, 2003 	
character=Ramon Garcia	name=Lombardo Boyar	episodes=2 episodes, 2003 	
character=Scott Evans	name=Andrew Hawkes	episodes=2 episodes, 2006 	
character=Zhou Yong	name=Ian Anthony Dale	episodes=2 episodes, 2007 	
character=Kozelek Hacker	name=Maury Sterling	episodes=2 episodes, 2007 	
character=Elaine Al-Zacar	name=Mare Winningham	episodes=2 episodes, 2010 	
character=General Bowden	name=Dean Norris	episodes=2 episodes, 2003 	
character=Imam Al-Fulani	name=Bernard White	episodes=2 episodes, 2003 	
character=Agent Davis	name=David Fabrizio	episodes=2 episodes, 2004-2006 	
character=Bruce Foxton	name=Mark Rolston	episodes=2 episodes, 2004 	
character=Forbes	name=Richard Marcus	episodes=2 episodes, 2005 	
character=Sue	name=Stephanie Erb	episodes=2 episodes, 2006 	
character=Sergeant Cadden	name=Diego Klattenhoff	episodes=2 episodes, 2009 	
character=Masters	name=Nick Chinlund	episodes=2 episodes, 2009 	
character=Bob Peluso	name=Don McManus	episodes=2 episodes, 2009 	
character=Derek Watts	name=Johnathan McClain	episodes=2 episodes, 2009 	
character=Nate Burke	name=Jamie Martz	episodes=2 episodes, 2010 	
character=Bridget	name=Kim Murphy	episodes=2 episodes, 2001 	
character=Frank Simes	name=Michael Bryan French	episodes=2 episodes, 2002-2009 	
character=Tanya	name=Pauley Perrette	episodes=2 episodes, 2002 	
character=Teddy Hanlin	name=Kirk Baltz	episodes=2 episodes, 2002 	
character=Ted Paulson	name=Kevin Ramsey	episodes=2 episodes, 2002 	
character=Dalton Furrelle	name=David Herman	episodes=2 episodes, 2004 	
character=Susan Cole	name=Jenni Blong	episodes=2 episodes, 2004 	
character=John Reiss	name=Albie Selznick	episodes=2 episodes, 2005 	
character=Peter Hock	name=Jonathan Adams	episodes=2 episodes, 2007-2009 	
character=Brian Jacobs	name=Scott Paulin	episodes=2 episodes, 2003 	
character=Agent Solarz	name=Diego Serrano	episodes=2 episodes, 2005 	
character=Agent Davis	name=Eric Steinberg	episodes=2 episodes, 2006 	
character=Sarah	name=Mary Page Keller	episodes=2 episodes, 2009 	
character=Sgt. Arroyo	name=Sal Landi	episodes=2 episodes, 2002 	
character=Paramedic	name=Scotch Ellis Loring	episodes=2 episodes, 2002 	
character=Rouse	name=Raymond Cruz	episodes=2 episodes, 2003 	
character=Randy Murdoch	name=Val Lauren	episodes=2 episodes, 2003 	
character=Jen Slater	name=Roxanne Day	episodes=2 episodes, 2005 	
character=Gary Klausner	name=Thomas Ryan	episodes=2 episodes, 2010 	
character=Mark DeSalvo	name=Lou Diamond Phillips	episodes=2 episodes, 2002 	
character=Sam Singer	name=Ted Marcoux	episodes=2 episodes, 2003 	
character=Deputy Sheriff	name=Paco Farias	episodes=2 episodes, 2003 	
character=LAPD Officer 	name=Kevin McCorkle	episodes=2 episodes, 2004-2009 	
character=Navid	name=Assaf Cohen	episodes=2 episodes, 2005-2010 	
character=Carrie Bendis	name=Danielle Burgio	episodes=2 episodes, 2006 	
character=Doug Masters	name=Jason Grutter	episodes=2 episodes, 2006 	
character=Team Member 	name=Ron Yuan	episodes=2 episodes, 2007 	
character=Zhou	name=Ron Yuan	episodes=2 episodes, 2007 	
character=Surgeon	name=Gabrielle Made	episodes=2 episodes, 2010 	
character=Dr. Spire	name=Peter Gregory	episodes=2 episodes, 2003 	
character=Rae Plachecki	name=Jenette Goldstein	episodes=2 episodes, 2004 	
character=Captain Reiss	name=Rick Ravanello	episodes=2 episodes, 2004 	
character=Frederick	name=Shawn Woods	episodes=2 episodes, 2004 	
character=Hikmat Palpatine	name=Kiran Rao	episodes=2 episodes, 2005 	
character=Amy Martin	name=Skylar Roberge	episodes=2 episodes, 2006 	
character=Laurent Dubaku	name=Arjay Smith	episodes=2 episodes, 2009 	
character=Adrion Bishop	name=Michael Irby	episodes=2 episodes, 2010 	
character=Amanda	name=Nina Landey	episodes=2 episodes, 2002-2003 	
character=Porter	name=Scott Allan Campbell	episodes=2 episodes, 2002 	
character=Raymond O	name=Brian Goodman	episodes=2 episodes, 2003 	
character=Hara	name=Brian Goodman	episodes=2 episodes, 2003 	
character=Bryce	name=Alex Daniels	episodes=2 episodes, 2003 	
character=Mark Kanar	name=Matt Salinger	episodes=2 episodes, 2004-2005 	
character=Pablo	name=Gonzalo Menendez	episodes=2 episodes, 2004 	
character=Ben Landry	name=Scott Lawrence	episodes=2 episodes, 2009-2010 	
character=Donnie Fox	name=Maximiliano Hernández	episodes=2 episodes, 2009 	
character=Sid Paulson	name=Leary	episodes=2 episodes, 2009 	
character=Sid Paulson	name=William O	episodes=2 episodes, 2009 	
character=Alan Morgan	name=David Franco	episodes=2 episodes, 2002 	
character=D.J. Graves	name=Neal Matarazzo	episodes=2 episodes, 2003-2004 	
character=Brandon	name=Brandon Barash	episodes=2 episodes, 2005 	
character=Field Reporter	name=Bob DeCastro	episodes=2 episodes, 2006-2010 	
character=Agent Peter	name=John Griffin	episodes=2 episodes, 2006-2009 	
character=Christina Hillinger	name=Marina Black	episodes=2 episodes, 2009 	
character=Maggie Koernig	name=Sandra Purpuro	episodes=2 episodes, 2010 	
character=Ziya Dakhilov	name=Jon Sklaroff	episodes=2 episodes, 2010 	
character=Dr. Mark Kaylis	name=Michael Bofshever	episodes=2 episodes, 2005 	
character=Stan	name=Eric Bruskotter	episodes=2 episodes, 2007 	
character=Abo	name=Burl Moseley	episodes=2 episodes, 2009 	
character=Anchorwoman	name=Suzan Brittan	episodes=2 episodes, 2001-2002 	
character=Horter	name=Cliff Weissman	episodes=2 episodes, 2002-2005 	
character=Agent Barnes	name=Pete Antico	episodes=2 episodes, 2002 	
character=N.E.S.T. Tech 	name=Gary DeWitt Marshall	episodes=2 episodes, 2003 	
character=Reporter	name=Michelle C. Bonilla	episodes=2 episodes, 2004-2005 	
character=Eduardo	name=Gino Montesinos	episodes=2 episodes, 2004 	
character=Cabinet Secretary 	name=Joseph Hacker	episodes=2 episodes, 2005-2007 	
character=Schaeffer	name=Timothy V. Murphy	episodes=2 episodes, 2006 	
character=Louis Dalton	name=Harry Van Gorkum	episodes=2 episodes, 2010 	
character=CTU Interrogation Specialist	name=Chris Butler	episodes=2 episodes, 2010 	
character=Ellen Kramer	name=Kathryn Winslow	episodes=2 episodes, 2010 	
character=Ed Miller	name=Bryan Rasmussen	episodes=2 episodes, 2002-2004 	
character=Agent Drake	name=Angelo Pagán	episodes=2 episodes, 2002 	
character=General Stone	name=Richard Holden	episodes=2 episodes, 2003-2004 	
character=Trask	name=Mark Ivanir	episodes=2 episodes, 2003 	
character=Davis	name=Jeff Wincott	episodes=2 episodes, 2003 	
character=Lucia Garcia	name=Nicole Gomez Fisher	episodes=2 episodes, 2003 	
character=Carol	name=Forbes Riley	episodes=2 episodes, 2004 	
character=Helicopter Pilot	name=Vince Duvall	episodes=2 episodes, 2005 	
character=Agent Jennings	name=Matt Battaglia	episodes=2 episodes, 2006-2007 	
character=Dr. Joel Levine	name=Eli Goodman	episodes=2 episodes, 2010 	
character=Doctor	name=Freda Foh Shen	episodes=2 episodes, 2002 	
character=Alexander Trepkos	name=Eugene Robert Glazer	episodes=2 episodes, 2003 	
character=Phil	name=David Chisum	episodes=2 episodes, 2004 	
character=Gunman 	name=Vincent Foster	episodes=2 episodes, 2006 	
character=Agent Remick	name=Peter Onorati	episodes=2 episodes, 2009 	
character=EMT Gonzalez	name=Emerson Brooks	episodes=2 episodes, 2009 	
character=Lesley Lerma	name=Peter James Smith	episodes=2 episodes, 2009 	
character=Blonde Woman	name=Nazanin Boniadi	episodes=2 episodes, 2010 	
character=Tim	name=Birkett Turton	episodes=2 episodes, 2003 	
character=Cale	name=Matt Bushell	episodes=2 episodes, 2004 	
character=Tech Agent	name=Brian Catalano	episodes=2 episodes, 2004 	
character=CTU Agent	name=Kelly Gullett	episodes=2 episodes, 2005-2006 	
character=Mary	name=Nadine Ellis	episodes=2 episodes, 2005 	
character=Separatist	name=Clayton J. Barber	episodes=2 episodes, 2006 	
character=Bierko	name=Clayton J. Barber	episodes=2 episodes, 2006 	
character=Vasili	name=Boris Lee Krutonog	episodes=2 episodes, 2007 	
character=Halil	name=Said Faraj	episodes=2 episodes, 2007 	
character=Liddy	name=Adrian Neil	episodes=2 episodes, 2007 	
character=Major Zeze Eto	name=Cormack	episodes=2 episodes, 2009 	
character=Major Zeze Eto	name=Adetokumboh M	episodes=2 episodes, 2009 	
character=UN Protocol Director	name=Tava Smiley	episodes=2 episodes, 2010 	
character=Phil Lu	name=Johnny M. Wu	episodes=2 episodes, 2010 	
character=Agent Cole	name=Michael Yavnielli	episodes=2 episodes, 2006 	
character=O.C. Operator	name=Addie Daddio	episodes=2 episodes, 2002-2006 	
character=Ahmet	name=Nicholas Kadi	episodes=2 episodes, 2005 	
character=Lee Jong	name=Peter Chen	episodes=2 episodes, 2005 	
character=Nurse	name=Liz Loza	episodes=2 episodes, 2010 	
character=CTU Worker	name=Naomi Morales	episodes=2 episodes, 2010 	
character=Businessman	name=Carmen Mormino	episodes=2 episodes, 2001-2003 	
character=Heather	name=Mandy June Turpin	episodes=2 episodes, 2004 	
character=News Anchor	name=John Beard	episodes=2 episodes, 2005-2006 	
character=Reporter	name=Maria Quiban	episodes=2 episodes, 2005 	
character=CTU Doctor	name=Reggie Jordan	episodes=2 episodes, 2006-2010 	
character=Catherine	name=Jennifer Carta	episodes=2 episodes, 2009 	
character=Teri	name=Claire Geare	episodes=2 episodes, 2010 	
character=NY News Anchor	name=Dick Brennan	episodes=2 episodes, 2010 	
character=MTA Officer Marx	name=Beau Dremann	episodes=2 episodes, 2005-2009 	
character=Army National Guardsman	name=Jim Klock	episodes=2 episodes, 2007 	
character=National Guardsman	name=David Michael	episodes=2 episodes, 2007 	
character=DCPD Officer 	name=Matt Nolan	episodes=2 episodes, 2009 	
character=EMT 	name=Zachary Stockdale	episodes=2 episodes, 2009 	
character=Pedro	name=Wilmer Calderon	episodes=2 episodes, 2003 	
character=Phillips	name=Roger Ranney	episodes=2 episodes, 2004 	
character=Assistant	name=Roger Ranney	episodes=2 episodes, 2004 	
character=Emilio	name=Eduardo Antonio Garcia	episodes=2 episodes, 2004 	
character=Chevensky	name=Taras Los	episodes=2 episodes, 2006 	
character=Hasan Numair	name=Shaun Majumder	episodes=2 episodes, 2007 	
character=Phil	name=Chris Williams	episodes=2 episodes, 2009 	
character=Technician 	name=DaJuan Johnson	episodes=2 episodes, 2009 	
character=Stripper 	name=Isabella Grace	episodes=2 episodes, 2010 	
character=Agent Kilner	name=Jorge-Luis Pallo	episodes=2 episodes, 2009 	
character=Horse Trainer	name=Jorge Noa	episodes=2 episodes, 2003-2006 	
character=Prion Variant Operative	name=Randy Flagler	episodes=2 episodes, 2009 	
character=Dubaku	name=Jeronimo Spinx	episodes=2 episodes, 2009 	
character=Driver	name=Jeronimo Spinx	episodes=2 episodes, 2009 	
character=Luka	name=Thomas Fiscella	episodes=2 episodes, 2010 	
character=Tyler	name=Vince Corazza	episodes=2 episodes, 2003-2004 	
character=Airline Representative	name=Glenda Redfield	episodes=2 episodes, 2009 	
character=CTU Agent 	name=J.R. Ramirez	episodes=2 episodes, 2010 	
character=CTU Swat Medic 	name=Eltony Williams	episodes=2 episodes, 2010 	
character=Bazhaev	name=Conrad Allan	episodes=2 episodes, 2010 	
character=Bodyguard	name=Conrad Allan	episodes=2 episodes, 2010 	
character=Agent Lennert	name=Wiley M. Pickett	episodes=2 episodes, 2001-2009 	
character=Alex	name=Angelo Vacco	episodes=2 episodes, 2009-2010 	
character=News Anchor	name=Steve Edwards	episodes=2 episodes, 2006 	
character=Escort Guard	name=Bruce Gerard Brown Jr.	episodes=2 episodes, 2007 	
character=Cimbe	name=Roshawn Franklin	episodes=2 episodes, 2009 	
character=Jenna	name=Lauren Storm	episodes=2 episodes, 2003 	
character=Masheer Abu-Marzuq	name=Sammy Sheik	episodes=2 episodes, 2007 	
character=Gus	name=David Grant Wright	episodes=2 episodes, 2009 	
character=Juma	name=Marvin Jordan	episodes=2 episodes, 2009 	
character=Commando	name=Marvin Jordan	episodes=2 episodes, 2009 	
character=Pilot	name=Lou Glenn	episodes=2 episodes, 2009 	
character=Co-Pilot	name=Jonathan Craig Williams	episodes=2 episodes, 2009 	
character=James	name=Benjamin Burdick	episodes=2 episodes, 2009 	
character=Lydia	name=Brittainy Parrett	episodes=2 episodes, 2009 	
character=Year Old Boy	name=Zachary Gordon	episodes=2 episodes, 2009 	
character=Todd	name=Chris Flanders	episodes=2 episodes, 2009 	
character=Robert Ellis	name=Wade Williams	episodes=1 episode, 2002 	
character=Frank Davies	name=Brent Sexton	episodes=1 episode, 2003 	
character=Joe Prado	name=John Thaddeus	episodes=1 episode, 2005 	
character=Polakov	name=Timothy Omundson	episodes=1 episode, 2006 	
character=Mohsen	name=Aki Avni	episodes=1 episode, 2003 	
character=Brett	name=Jason Padgett	episodes=1 episode, 2005 	
character=Store Customer	name=Tina Holmes	episodes=1 episode, 2005 	
character=Joseph Fayed	name=Adam Alexi-Malle	episodes=2 episodes, 2005 	
character=Victor Aruz	name=Benito Martinez	episodes=1 episode, 2010 	
character=Nabilla Al-Jamil	name=Lina Patel	episodes=1 episode, 2005 	
character=Sabir Ardakani	name=Kris Iyer	episodes=1 episode, 2005 	
character=Barbara Maccabee	name=Donzaleigh Abernathy	episodes=1 episode, 2003 	
character=Doug	name=Brent Briscoe	episodes=1 episode, 2005 	
character=Ron	name=Carl Gilliard	episodes=1 episode, 2006 	
character=Danny	name=Scott Klace	episodes=1 episode, 2004 	
character=Army Corporal	name=John Brantley Cole	episodes=2 episodes, 2007 	
character=Marko Khatami	name=Maz Jobrani	episodes=1 episode, 2002 	
character=Benson	name=TL Savage	episodes=2 episodes, 2007 	
character=Eileen	name=Jacque Parson	episodes=1 episode, 2002-2005 	
character=Agent Nichols	name=Alfred F. Woodley	episodes=2 episodes, 2007 	
character=Beatriz	name=Alejandra Flores	episodes=1 episode, 2004 	
character=Prescott O	name=Cap Gordon	episodes=1 episode, 2009 	
character=Brian	name=Cap Gordon	episodes=1 episode, 2009 	
character=Hugo	name=Alex Castillo	episodes=2 episodes, 2006 	
character=Marko	name=Mark Kubr	episodes=2 episodes, 2002-2003 	
character=Barry	name=Jed Bernard	episodes=1 episode, 2004 	
character=Mikhail	name=Roman Mitichyan	episodes=1 episode, 2010 	
character=Hong Wai	name=John Koyama	episodes=1 episode, 2006 	
character=Wu San	name=Garret Sato	episodes=1 episode, 2006 	
character=Cheng	name=Clay Cullen	episodes=1 episode, 2006 	
character=Chinese Sentry	name=Tsuyoshi Abe	episodes=1 episode, 2006 	
character=Don Ashton	name=Denis Arndt	episodes=1 episode, 2005 	
character=Dr. George Ferragamo	name=John Prosky	episodes=1 episode, 2002 	
character=Mila Luminovic	name=Juliette Marquis	episodes=1 episode, 2002 	
character=George Avila	name=Kirk Acevedo	episodes=1 episode, 2006 	
character=Dana	name=Christina Moore	episodes=1 episode, 2002 	
character=Jason Girard	name=T.J. Thyne	episodes=1 episode, 2005 	
character=Gene McLennen	name=Bill Smitrovich	episodes=1 episode, 2005 	
character=Stan Cotter	name=Richard Gilliland	episodes=1 episode, 2006 	
character=Attorney General	name=Dan Ziskie	episodes=1 episode, 2006 	
character=Stuart Pressman	name=Chris Kramer	episodes=1 episode, 2007 	
character=Nikola Luminovic	name=Evgeniy Lazarev	episodes=1 episode, 2002 	
character=David Weiss	name=Evan Handler	episodes=1 episode, 2005 	
character=Naseem	name=Michael Benyaer	episodes=1 episode, 2005 	
character=Hans Meyer	name=Kirk B.R. Woller	episodes=1 episode, 2006 	
character=Marshal Holtzman	name=John Lacy	episodes=1 episode, 2006 	
character=Gabriel Schector	name=Tommy Flanagan	episodes=1 episode, 2009 	
character=Carl Gadsen	name=Connor Trinneer	episodes=1 episode, 2009 	
character=Jessie Hampton	name=Yolonda Ross	episodes=1 episode, 2001 	
character=Lauren Proctor	name=Kathleen Wilhoite	episodes=1 episode, 2002 	
character=Jessica Abrams	name=Jackie Debatin	episodes=1 episode, 2002 	
character=Agent Ron	name=Paul Webster	episodes=1 episode, 2002 	
character=Theresa Ortega	name=Kamala Lopez	episodes=1 episode, 2004 	
character=Naji	name=Dominic Rains	episodes=1 episode, 2005 	
character=Lucy Stiles	name=Nancy Linehan Charles	episodes=1 episode, 2005 	
character=Kelly Girard	name=Claudette Mink	episodes=1 episode, 2005 	
character=Ali	name=Dariush Kashani	episodes=1 episode, 2005 	
character=Sam	name=Brett Rickaby	episodes=1 episode, 2006 	
character=Connell Johnson	name=JR Bourne	episodes=1 episode, 2007 	
character=Patricia Eames	name=Kathryn Gordon	episodes=1 episode, 2009 	
character=Agent Winnick	name=Brad Fleischer	episodes=1 episode, 2010 	
character=Susan Collier	name=Kim Miyori	episodes=1 episode, 2001 	
character=Philips	name=David Barrera	episodes=1 episode, 2001 	
character=Serbian Doctor	name=Josip Kuchan	episodes=1 episode, 2002 	
character=Kevin Kelly	name=Jack Kehler	episodes=1 episode, 2004 	
character=Dale Spalding	name=Patrick Kilpatrick	episodes=1 episode, 2005 	
character=Scott Borman	name=David Newsom	episodes=1 episode, 2005 	
character=Derek Rosner	name=Todd Kimsey	episodes=1 episode, 2005 	
character=Steve Simmons	name=Mesan Richardson	episodes=1 episode, 2005 	
character=Joseph Malina	name=José Zúñiga	episodes=1 episode, 2006 	
character=Ross	name=Blake Robbins	episodes=1 episode, 2006 	
character=John Carruth	name=Sean McGowan	episodes=1 episode, 2006 	
character=Sergeant Amis	name=David Gianopoulos	episodes=1 episode, 2010 	
character=Sergei Bazhaev	name=Joseph Kamal	episodes=1 episode, 2010 	
character=Attorney	name=Joseph Kamal	episodes=1 episode, 2010 	
character=John Mason	name=Eric Christian Olsen	episodes=1 episode, 2002 	
character=Dr. Rose Kent	name=Judith Scott	episodes=1 episode, 2002 	
character=Erica Vasquez	name=Christine Avila	episodes=1 episode, 2002 	
character=Reporter	name=Yvette Fernandez	episodes=1 episode, 2002 	
character=Sgt. Amis	name=Victor Rivers	episodes=1 episode, 2003 	
character=Kathy McCartney	name=Brigid Brannagh	episodes=1 episode, 2004 	
character=Arthur Rabens	name=Salvator Xuereb	episodes=1 episode, 2004 	
character=Shari	name=Darby Stanchfield	episodes=1 episode, 2005 	
character=Spectre	name=Christopher B. Duncan	episodes=1 episode, 2005 	
character=Greg Merfield	name=Tim Kelleher	episodes=1 episode, 2005 	
character=Farah	name=Zilah Mendoza	episodes=1 episode, 2005 	
character=Tariq	name=Rene Millan	episodes=1 episode, 2005 	
character=Inessa Kovalevsky	name=Angela Sarafyan	episodes=1 episode, 2006 	
character=Miriam Henderson	name=JoBeth Williams	episodes=1 episode, 2006 	
character=Carl Mossman	name=John Posey	episodes=1 episode, 2006 	
character=Suzanne Cummings	name=Alla Korot	episodes=1 episode, 2006 	
character=Tim Rooney	name=Jeremy Ray Valdez	episodes=1 episode, 2006 	
character=Chinese Agent	name=Charles Rahi Chun	episodes=1 episode, 2006 	
character=Doctor Bradley	name=J.C. MacKenzie	episodes=1 episode, 2007 	
character=General Mohmar Habib	name=Ismael Kanater	episodes=1 episode, 2007 	
character=Elemu	name=Treva Etienne	episodes=1 episode, 2009 	
character=Mitch	name=Paul Francis	episodes=1 episode, 2009 	
character=John Mazoni	name=Domenick Lombardozzi	episodes=1 episode, 2010 	
character=Brian	name=Ryan Alosio	episodes=1 episode, 2010 	
character=Judge Ruffin	name=Jack Shearer	episodes=1 episode, 2010 	
character=Frank Haynam	name=Chris McGarry	episodes=1 episode, 2010 	
character=Larry Rogow	name=Keram Malicki-Sánchez	episodes=1 episode, 2001 	
character=Frank Ames	name=Ivar Brogger	episodes=1 episode, 2002 	
character=Karris	name=Tico Wells	episodes=1 episode, 2002 	
character=Ambassador Shareef	name=Alexander Zale	episodes=1 episode, 2002 	
character=Secret Service Agent	name=Emile Williams	episodes=1 episode, 2002 	
character=General Blaye	name=Ted Sutton	episodes=1 episode, 2003 	
character=Diana White	name=Gabrielle Fitzpatrick	episodes=1 episode, 2004 	
character=Marcy	name=Michael Hyatt	episodes=1 episode, 2005 	
character=Ian	name=Jonathan Del Arco	episodes=1 episode, 2005 	
character=Agent Baron	name=Tim Griffin	episodes=1 episode, 2005 	
character=Gary	name=Lawrence Monoson	episodes=1 episode, 2005 	
character=Karen Pendleton	name=Phyllis Lyons	episodes=1 episode, 2005 	
character=Agent Hart	name=Dean Cudworth	episodes=1 episode, 2005 	
character=USAF Mechanic	name=Bryce Lenon	episodes=1 episode, 2005 	
character=Rescue Worker	name=Dan Lundy	episodes=1 episode, 2005 	
character=Agent Ed	name=David Batiste	episodes=1 episode, 2006 	
character=Bryce Wolffson	name=Jack Galle	episodes=1 episode, 2006 	
character=Jeannie Tyler	name=Nancy Cartwright	episodes=1 episode, 2007 	
character=Ben Kram	name=Spencer Garrett	episodes=1 episode, 2007 	
character=Nikolai	name=Ray Proscia	episodes=1 episode, 2007 	
character=Elena	name=Scarlett Chorvat	episodes=1 episode, 2007 	
character=Jamal Nasawa	name=Merik Tadros	episodes=1 episode, 2007 	
character=Kevin Graves	name=Ray Laska	episodes=1 episode, 2007 	
character=Deputy Attorney General	name=Robin Thomas	episodes=1 episode, 2009 	
character=Attorney General	name=Ned Bellamy	episodes=1 episode, 2009 	
character=Agent Park	name=Tom Choi	episodes=1 episode, 2009 	
character=Kristen Smith	name=Merle Dandridge	episodes=1 episode, 2010 	
character=Nantz	name=Alex Carter	episodes=1 episode, 2010 	
character=Officer I-Mary-38	name=James MacDonald	episodes=1 episode, 2001 	
character=Joseph Wald	name=Jon Gries	episodes=1 episode, 2002 	
character=Karima Naiyeer	name=Yareli Arizmendi	episodes=1 episode, 2002 	
character=Henry Martin	name=Andre Canty	episodes=1 episode, 2002 	
character=Lenny	name=Logan Alexander	episodes=1 episode, 2002 	
character=Anna	name=Susan Gibney	episodes=1 episode, 2003 	
character=General Gratz	name=Carmen Argenziano	episodes=1 episode, 2003 	
character=Agent Rafael Gutierrez	name=Marco Sanchez	episodes=1 episode, 2003 	
character=Steve Hillenburg	name=Michael Mantell	episodes=1 episode, 2003 	
character=Agent Gibson	name=Terrell Clayton	episodes=1 episode, 2003 	
character=Angry Man	name=Michael Jannetta	episodes=1 episode, 2003 	
character=Military Officer 	name=Steven Arthur	episodes=1 episode, 2003 	
character=Trevor Tomlinson	name=Simon Templeman	episodes=1 episode, 2004 	
character=Mike Murphy	name=Colby French	episodes=1 episode, 2004 	
character=Roger Sommers	name=Randy Thompson	episodes=1 episode, 2004 	
character=Melanie	name=Brittany Ishibashi	episodes=1 episode, 2005 	
character=Doctor Sanford	name=Mauricio Mendoza	episodes=1 episode, 2005 	
character=Captain John Hansen	name=David Andriole	episodes=1 episode, 2005 	
character=Security Guard	name=James Calvert	episodes=1 episode, 2005 	
character=Dr. Martinez	name=Hector Luis Bustamante	episodes=1 episode, 2005 	
character=Meg	name=Carmen Molinari	episodes=1 episode, 2005 	
character=Gary	name=Jake Muxworthy	episodes=1 episode, 2005 	
character=Cal	name=Channon Roe	episodes=1 episode, 2006 	
character=DHS Staffer	name=Kate Rene Gleason	episodes=1 episode, 2006 	
character=DHS Security Guard	name=Larkin Campbell	episodes=1 episode, 2006 	
character=Mall Manager	name=Jay Gordon	episodes=1 episode, 2006 	
character=Steve Thompson	name=Marc Raducci	episodes=1 episode, 2006 	
character=Joanna Tandy	name=Pia Artesona	episodes=1 episode, 2006 	
character=Leon	name=Gideon Emery	episodes=1 episode, 2007 	
character=CTU Doctor	name=Natalija Nogulich	episodes=1 episode, 2007 	
character=Doctor Hastings	name=Tom Everett	episodes=1 episode, 2007 	
character=Jimmy	name=Will Radford	episodes=1 episode, 2007 	
character=Carol Vossler	name=Jacqueline Pinol	episodes=1 episode, 2009 	
character=FBI Policeman 	name=Christopher Michael	episodes=1 episode, 2009 	
character=General Vincent	name=Rocky McMurray	episodes=1 episode, 2009 	
character=FBI Administrative Agent	name=Lucas Ford	episodes=1 episode, 2009 	
character=Captain Walleki	name=Joe Sabatino	episodes=1 episode, 2010 	
character=Claude Davenport	name=Todd Jeffries	episodes=1 episode, 2001 	
character=Scott Baylor	name=Scott Denny	episodes=1 episode, 2001 	
character=Agent Bundy	name=Ricardo Chavira	episodes=1 episode, 2002 	
character=Hassan Naiyeer	name=Shaun Duke	episodes=1 episode, 2002 	
character=Newman	name=Randy J. Goodwin	episodes=1 episode, 2002 	
character=Field Reporter	name=Jane Yamamoto	episodes=1 episode, 2002 	
character=Peel	name=Lobo Sebastian	episodes=1 episode, 2003 	
character=Deputy Prime Minister Barghouti	name=Christopher Maher	episodes=1 episode, 2003 	
character=Male Driver	name=James Aaron Oliver	episodes=1 episode, 2003 	
character=Ranger Mike Kramer	name=Miguel Pérez	episodes=1 episode, 2003 	
character=Foreman	name=Michael James Reed	episodes=1 episode, 2003 	
character=Female Reporter	name=Claudia DiFolco	episodes=1 episode, 2003 	
character=Hannah Zoltan	name=Shontina Vernon	episodes=1 episode, 2003 	
character=Lennox	name=Shiloh Strong	episodes=1 episode, 2004 	
character=Subway Guy	name=Andrew Borba	episodes=1 episode, 2004 	
character=Police Chief Hendrix	name=Paul Vincent O	episodes=1 episode, 2004 	
character=Police Chief Hendrix	name=Connor	episodes=1 episode, 2004 	
character=Craig Erwich	name=Kelvin Han Yee	episodes=1 episode, 2005 	
character=Sergeant Paulson	name=Rick Hall	episodes=1 episode, 2005 	
character=Anwar	name=Gino Salvano	episodes=1 episode, 2005 	
character=Arabic Man	name=Jay Harik	episodes=1 episode, 2005 	
character=CTU Driver	name=Andrew Putney	episodes=1 episode, 2005 	
character=Tom Wegman	name=Jay Acovone	episodes=1 episode, 2006 	
character=Marine Commander	name=Pancho Demmings	episodes=1 episode, 2006 	
character=Agent Clarke	name=Christopher Stapleton	episodes=1 episode, 2006 	
character=CTU Security Guard	name=Dan Warner	episodes=1 episode, 2006 	
character=Agent Finn	name=Benjamin John Parrillo	episodes=1 episode, 2006 	
character=Sgt. Mike McLaren	name=John Gleeson Connolly	episodes=1 episode, 2006 	
character=Moreno	name=Herman Chavez	episodes=1 episode, 2006 	
character=Dan	name=Philip Lester	episodes=1 episode, 2006 	
character=Mark Hauser	name=Devon Gummersall	episodes=1 episode, 2007 	
character=Bar Patron 	name=Anthony Michael Jones	episodes=1 episode, 2007 	
character=FBI Agent	name=Christian Macchio	episodes=1 episode, 2007 	
character=Linda Gadsen	name=Meredith Salenger	episodes=1 episode, 2009 	
character=John Brunner	name=Tom Irwin	episodes=1 episode, 2009 	
character=Agent Davis	name=Eric Nenninger	episodes=1 episode, 2009 	
character=Dr. Levinson	name=Paul McGillion	episodes=1 episode, 2009 	
character=Prion Variant 	name=Nicholas Guest	episodes=1 episode, 2009 	
character=Cashier	name=Derek Basco	episodes=1 episode, 2009 	
character=Agent Franks	name=F.J. Rio	episodes=1 episode, 2009 	
character=Starkwood Team Leader	name=Jack Maxwell	episodes=1 episode, 2009 	
character=DCPD Officer	name=Herve Clermont	episodes=1 episode, 2009 	
character=Wilson	name=Thomas Lumberg Jr.	episodes=1 episode, 2009 	
