# http://fitlayout.github.io/resource/art12 -> https://www.imdb.com/title/tt1119644/fullcredits/
character=Olivia Dunham	name=Anna Torv	episodes=100 episodes, 2008-2013 	
character=Boston Police Officer	name=Marc Gaudet	episodes=1 episode, 2012 	
character=Man in Park	name=Paul Andrich	episodes=1 episode, 2012 	
character=Brunette Woman	name=Rhea Fedorchuk	episodes=1 episode, 2012 	
character=Bark Man 	name=Bojan Dulabic	episodes=1 episode, 2012 	
character=Tim	name=Simon Bradbury	episodes=1 episode, 2012 	
character=Young Resistance Fighter	name=Thomas Cadrot	episodes=1 episode, 2013 	
character=Observer in Conference Room	name=Adam Henderson	episodes=1 episode, 2013 	
character=Young Fringe Agent	name=Natalie Edwards	episodes=1 episode, 2013 	
character=Ben Stockton	name=Charlie Tahan	episodes=1 episode, 2008 	
character=Younger Waitress	name=Lisa Joyce	episodes=1 episode, 2008 	
character=Stacey	name=Elizabeth Stanley	episodes=1 episode, 2008 	
character=Gerard	name=Donnie Keshawarz	episodes=1 episode, 2008 	
character=Michael Kelly	name=David Vadim	episodes=1 episode, 2008 	
character=Officer Marty Pitts	name=William Hill	episodes=1 episode, 2008 	
character=Bethany	name=Diane Davis	episodes=1 episode, 2008 	
character=German Woman	name=Jill Harland	episodes=1 episode, 2008 	
character=Raymond	name=Ethan Goldsmith	episodes=1 episode, 2008 	
character=Gavin	name=Armando Riesco	episodes=1 episode, 2009 	
character=Jessica Warren	name=Mary Beth Peil	episodes=1 episode, 2009 	
character=Dennis	name=Matt Mulhern	episodes=1 episode, 2009 	
character=Mustang Man	name=Ward Horton	episodes=1 episode, 2009 	
character=Captain Diane Burgess	name=Claudette Mink	episodes=1 episode, 2009 	
character=Cameron Deglmann	name=Tim Gallin	episodes=1 episode, 2009 	
character=EMT	name=Victor Cruz	episodes=1 episode, 2009 	
character=Billy Willis	name=Victor Verhaeghe	episodes=1 episode, 2009 	
character=Mr. Lamia	name=Stephen Dimopoulos	episodes=1 episode, 2009 	
character=Dock Worker Yang	name=Brett Chan	episodes=1 episode, 2009 	
character=Bus Driver	name=Frank Bonsangue	episodes=1 episode, 2009 	
character=Pin Seller	name=Richard Cohee	episodes=1 episode, 2009 	
character=Mother	name=Charisse Baker	episodes=1 episode, 2009 	
character=Girl	name=Charisse Baker	episodes=1 episode, 2009 	
character=Clerk	name=Philip Cabrita	episodes=1 episode, 2009 	
character=Team Leader	name=Derek Anderson	episodes=1 episode, 2009 	
character=Young Peter	name=Quinn Lord	episodes=1 episode, 2010 	
character=Nurse 2	name=BJ Harrison	episodes=1 episode, 2010 	
character=Trooper Jerry	name=Jacob Blair	episodes=1 episode, 2010 	
character=Dr. Levin	name=Malcolm Stewart	episodes=1 episode, 2010 	
character=Priest	name=Sean Dugan	episodes=1 episode, 2010 	
character=Ben Killenburg	name=Michael Coleman	episodes=1 episode, 2010 	
character=Homeless Man with Dog	name=Sam Bob	episodes=1 episode, 2010 	
character=Nurse	name=Sarah Hayward	episodes=1 episode, 2010 	
character=State Trooper	name=Rena Kawabata	episodes=1 episode, 2010 	
character=Paramedic 	name=Garnet Harding	episodes=1 episode, 2010 	
character=Driver	name=Peter Ciuffa	episodes=1 episode, 2010 	
character=Hostess	name=Mittita Barber	episodes=1 episode, 2010 	
character=Tom	name=Paul Herbert	episodes=1 episode, 2010 	
character=Uniform Cop	name=Robert Gauvin	episodes=1 episode, 2010 	
character=FBI EMT	name=Julie Brar	episodes=1 episode, 2010 	
character=CDC Suit	name=Jason Bax	episodes=1 episode, 2010 	
character=Passenger Girl	name=Leanne Lapp	episodes=1 episode, 2011 	
character=Dr. Alexandra Castro	name=Alexandra Castillo	episodes=1 episode, 2011 	
character=Donnie	name=Richard Ian Cox	episodes=1 episode, 2011 	
character=Megan Miller	name=Jordyn Ashley Olson	episodes=1 episode, 2011 	
character=Doctor	name=Darcy Laurie	episodes=1 episode, 2011 	
character=Ned	name=James Clayton	episodes=1 episode, 2011 	
character=Man 	name=Kory Grim	episodes=1 episode, 2011 	
character=Friend Two	name=David Leach	episodes=1 episode, 2011 	
character=BPD Sergeant	name=Anthony Harrison	episodes=1 episode, 2011 	
character=Suspect	name=Trevor Addie	episodes=1 episode, 2011 	
character=John	name=Michael Charrois	episodes=1 episode, 2011 	
character=Friend Two	name=Dave Leach	episodes=1 episode, 2011 	
character=Dr. Janns	name=Elliot Mandelcorn	episodes=1 episode, 2011 	
character=Boy 1	name=Jay Jay Jackson	episodes=1 episode, 2011 	
character=Rick	name=Bradley Stryker	episodes=1 episode, 2012 	
character=Stepmother	name=Chilton Crane	episodes=1 episode, 2012 	
character=Alt Lincoln	name=Chilton Crane	episodes=1 episode, 2012 	
character=Chief Scientist	name=Alistair Abell	episodes=1 episode, 2012 	
character=Security Guard	name=Nickolas Baric	episodes=1 episode, 2012 	
character=TSA Agent 	name=Martin Christopher	episodes=1 episode, 2012 	
character=Bearded Man	name=Gaalen Engen	episodes=1 episode, 2012 	
character=Jane Reymar	name=Tammy Hui	episodes=1 episode, 2012 	
character=Chinese Vendor	name=Larry Hoe	episodes=1 episode, 2012 	
character=Boston Cop	name=Marcus Andrews	episodes=1 episode, 2012 	
character=Loyalist	name=Alex Dafoe	episodes=1 episode, 2012 	
character=Andrew Sutter	name=Devin Johnston	episodes=1 episode, 2012 	
character=Woman With Shaved Head	name=Bronwyne Sloley	episodes=1 episode, 2012 	
character=Man with Bag	name=Brian McBride	episodes=1 episode, 2012 	
character=Loyalist Guard 	name=Jonathan Collins	episodes=1 episode, 2012 	
character=Nursing Home Attendant	name=Yasmin Abidi	episodes=1 episode, 2012 	
character=Man with Doll	name=Paul Duchart	episodes=1 episode, 2012 	
character=Escalator Rider 	name=Ruby Ahn	episodes=1 episode, 2012 	
character=Loyalist Driver in Hummer	name=Bruce Crawford	episodes=1 episode, 2013 	
character=Observer 	name=Jonathan Fitzgerald	episodes=1 episode, 2013 	
character=Ticket Agent	name=Cory LeClerc	episodes=1 episode, 2013 	
character=Paula Kramer	name=Lisa Emery	episodes=1 episode, 2008 	
character=Ron	name=Glenn Fleshler	episodes=1 episode, 2008 	
character=Nice Guy	name=Brian Tarantina	episodes=1 episode, 2008 	
character=Charlotte	name=Cindy Katz	episodes=1 episode, 2008 	
character=Raul Lugo	name=Angel David	episodes=1 episode, 2008 	
character=Older Waitress	name=Nancy Ticotin	episodes=1 episode, 2008 	
character=Andrew Stockton	name=Adam Grupper	episodes=1 episode, 2008 	
character=Amy	name=Carmen Goodine	episodes=1 episode, 2008 	
character=Denver Man	name=Peter Sawyer	episodes=1 episode, 2008 	
character=Danielle	name=Ali Liebert	episodes=1 episode, 2009 	
character=Conrad	name=Al Sapienza	episodes=1 episode, 2009 	
character=Forensics Chief	name=Adrian Holmes	episodes=1 episode, 2009 	
character=Luke Dempsey	name=Noah Fleiss	episodes=1 episode, 2009 	
character=Little Girl	name=Megan Charpentier	episodes=1 episode, 2009 	
character=Ahmed	name=Patrick Sabongui	episodes=1 episode, 2009 	
character=Ginger	name=Kelly Briter	episodes=1 episode, 2009 	
character=Tara Coleman	name=Sarah Wilson	episodes=1 episode, 2009 	
character=Lawyer	name=Lane Edwards	episodes=1 episode, 2009 	
character=Kurt Larsen	name=Aaron Craven	episodes=1 episode, 2009 	
character=Woman	name=Xanthe Elbrick	episodes=1 episode, 2009 	
character=Isaac Winters	name=Richard Bekins	episodes=1 episode, 2009 	
character=Seth Davies	name=Pete Graham	episodes=1 episode, 2009 	
character=Chinese Vendor	name=Simon Chin	episodes=1 episode, 2009 	
character=Diane	name=Lauren Fox	episodes=1 episode, 2009 	
character=MIT Girl 	name=Robyn Rikoon	episodes=1 episode, 2009 	
character=Dr. Winick	name=Sandra Daley	episodes=1 episode, 2009 	
character=FBI in Parking Garage	name=Matthew Robert Kelly	episodes=1 episode, 2009 	
character=Thin Man	name=Daniel Boileau	episodes=1 episode, 2009 	
character=Tommie	name=Philip LeStrange	episodes=1 episode, 2009 	
character=Teenager	name=Richard Harmon	episodes=1 episode, 2010 	
character=Executor	name=Hiro Kanagawa	episodes=1 episode, 2010 	
character=Luke	name=Luke Camilleri	episodes=1 episode, 2010 	
character=Trooper Bobby	name=Teach Grant	episodes=1 episode, 2010 	
character=Corpse 	name=Tom Pickett	episodes=1 episode, 2010 	
character=Steve	name=Brendan Beiser	episodes=1 episode, 2010 	
character=General Tonks	name=Julian Christopher	episodes=1 episode, 2010 	
character=Nurse 3	name=Marilyn Norry	episodes=1 episode, 2010 	
character=Becky Woomer	name=Paula Lindberg	episodes=1 episode, 2010 	
character=Hotel Manager	name=Christopher Logan	episodes=1 episode, 2010 	
character=Josh Staller	name=Aaron Brooks	episodes=1 episode, 2010 	
character=Bank Teller	name=Viviana Cruise	episodes=1 episode, 2010 	
character=Detective	name=Jason Diablo	episodes=1 episode, 2010 	
character=Waiter	name=Michael Scholar Jr.	episodes=1 episode, 2010 	
character=EMT	name=Demetrius Cornell	episodes=1 episode, 2010 	
character=Young Woman	name=Chelsea Bourdages	episodes=1 episode, 2010 	
character=Reiko	name=Joan Chen	episodes=1 episode, 2011 	
character=Paramedic	name=Lee Majdoub	episodes=1 episode, 2011 	
character=Pam	name=Marci T. House	episodes=1 episode, 2011 	
character=Randall	name=Carlos Diaz	episodes=1 episode, 2011 	
character=Dr. Harris	name=Roger Haskett	episodes=1 episode, 2011 	
character=Night Security Guard	name=Ash Lee	episodes=1 episode, 2011 	
character=Tactical Officer	name=Kevin Kruchkywich	episodes=1 episode, 2011 	
character=Rick Kimball	name=Conan Graham	episodes=1 episode, 2011 	
character=Lab Employee	name=Peter Kawasaki	episodes=1 episode, 2011 	
character=Cop 	name=Jason Edward Coleman	episodes=1 episode, 2011 	
character=Margery	name=Julia Schnekenburger	episodes=1 episode, 2011 	
character=Agent Goldin	name=Brett Delaney	episodes=1 episode, 2011 	
character=Paramedic	name=Lucas McCann	episodes=1 episode, 2011 	
character=Samantha	name=Chloe Mattei	episodes=1 episode, 2011 	
character=Scientist	name=Tobias Der	episodes=1 episode, 2011 	
character=Daniel Hicks	name=Daniel Cudmore	episodes=1 episode, 2012 	
character=Loyalist Guard	name=Jason McKinnon	episodes=1 episode, 2012 	
character=Agent Murphy	name=James Bamford	episodes=1 episode, 2012 	
character=Neal	name=Reese Alexander	episodes=1 episode, 2012 	
character=Woman Aged 20 Years	name=Colleen Winton	episodes=1 episode, 2012 	
character=Woman 	name=Colleen Winton	episodes=1 episode, 2012 	
character=Malley	name=John Innes	episodes=1 episode, 2012 	
character=Judge O	name=John Innes	episodes=1 episode, 2012 	
character=Woman in Car	name=Rebecca Husain	episodes=1 episode, 2012 	
character=Motorist 	name=Robbie Segulam	episodes=1 episode, 2012 	
character=Medical Examiner	name=Eileen Barrett	episodes=1 episode, 2012 	
character=Loyalist Guard 	name=Justin Doran	episodes=1 episode, 2012 	
character=Loyalist Guard 	name=Troy Anthony Young	episodes=1 episode, 2012 	
character=Waiter	name=Brian Knox McGugan	episodes=1 episode, 2012 	
character=FBI Agent 	name=Liam Carter	episodes=1 episode, 2012 	
character=Observer Under Bridge	name=Andrew Hedge	episodes=1 episode, 2012 	
character=Agent Reynolds	name=Sebastian Bertoli	episodes=1 episode, 2012 	
character=Club Doorman	name=Marlo Franson	episodes=1 episode, 2012 	
character=Crying Woman	name=Lindsay Drummond	episodes=1 episode, 2012 	
character=Loyalist Lieutenant	name=Peter Flemming	episodes=1 episode, 2013 	
character=Loyalist Guard at Desk	name=Charlie Gallant	episodes=1 episode, 2013 	
character=Angry 16 Year Old	name=Max Topplin	episodes=1 episode, 2008 	
character=Mrs. Scott	name=Peggy J. Scott	episodes=1 episode, 2008 	
character=Gregory Worth	name=Tom Riis Farrell	episodes=1 episode, 2008 	
character=Ken Williams	name=Robert Eli	episodes=1 episode, 2008 	
character=PK Simmons	name=Harold Surratt	episodes=1 episode, 2008 	
character=Evan McNeil	name=Vince Cupone	episodes=1 episode, 2008 	
character=Prison Guard	name=Lars Gerhard	episodes=1 episode, 2008 	
character=Old Man Christopher	name=Bernie McInerney	episodes=1 episode, 2008 	
character=Technician	name=David Sajadi	episodes=1 episode, 2008 	
character=Akim	name=Gbenga Akinnagbe	episodes=1 episode, 2009 	
character=MIT Guy 	name=Arjun Gupta	episodes=1 episode, 2009 	
character=Andrew Burgess	name=Barclay Hope	episodes=1 episode, 2009 	
character=Risa Pears	name=Rebecca Naomi Jones	episodes=1 episode, 2009 	
character=Neil	name=Justin Hagan	episodes=1 episode, 2009 	
character=Mike	name=Jimmy Palumbo	episodes=1 episode, 2009 	
character=Co-Pilot	name=Kurt Evans	episodes=1 episode, 2009 	
character=Dr. Simon	name=Peter Jay Fernandez	episodes=1 episode, 2009 	
character=Old Senator	name=Ken Camroux-Taylor	episodes=1 episode, 2009 	
character=Nurse 	name=Lindsay Collins	episodes=1 episode, 2009 	
character=Daughter	name=Melody B. Choi	episodes=1 episode, 2009 	
character=Mei Lin	name=Melody B. Choi	episodes=1 episode, 2009 	
character=Tech 	name=Jim Ford	episodes=1 episode, 2009 	
character=Officer Williams	name=Irene Karas Loeper	episodes=1 episode, 2009 	
character=Tech Agent	name=Cheryl Sarkaria	episodes=1 episode, 2009 	
character=Raymond, Worker 	name=Chad Cole	episodes=1 episode, 2009 	
character=FBI Newbie	name=Erica Carroll	episodes=1 episode, 2010 	
character=Tech 	name=Casey Manderson	episodes=1 episode, 2010 	
character=Will Turlough	name=Mark Dobies	episodes=1 episode, 2010 	
character=Female CSI	name=Jennifer Kitchen	episodes=1 episode, 2010 	
character=Police Officer	name=Rocky Anderson	episodes=1 episode, 2010 	
character=Corpse 	name=John Prowse	episodes=1 episode, 2010 	
character=Deputy Bill	name=J.J. Makaro	episodes=1 episode, 2010 	
character=Dan Liang	name=Minh Ly	episodes=1 episode, 2010 	
character=Uniformed Cop 	name=Demord Dann	episodes=1 episode, 2010 	
character=Lynn Arrendt	name=Robin Douglas	episodes=1 episode, 2010 	
character=Harold	name=Lawrence Haegert	episodes=1 episode, 2010 	
character=Science Center Worker	name=Chris Casillan	episodes=1 episode, 2010 	
character=Nurse	name=Aileen Laurel	episodes=1 episode, 2010 	
character=Dr. Rosa Oporto	name=Françoise Yip	episodes=1 episode, 2011 	
character=ER Doctor	name=John Emmet Tracy	episodes=1 episode, 2011 	
character=Lieutenant Daniels	name=Brent Stait	episodes=1 episode, 2011 	
character=FBI Agent 	name=Paul Lazenby	episodes=1 episode, 2011 	
character=Friend One	name=Branden Nadon	episodes=1 episode, 2011 	
character=Chris	name=Colby Johannson	episodes=1 episode, 2011 	
character=Grace	name=Natalie Gibson	episodes=1 episode, 2011 	
character=Newscaster	name=Sophie Lui	episodes=1 episode, 2011 	
character=Koenig	name=Jeff Sanca	episodes=1 episode, 2011 	
character=EMT	name=Donovan Cerminara	episodes=1 episode, 2011 	
character=MD Tech	name=Gary Sekhon	episodes=1 episode, 2011 	
character=Pharmacist	name=Arthur Corber	episodes=1 episode, 2011 	
character=Nurse	name=Gigi Jackman	episodes=1 episode, 2011 	
character=Teen Boy	name=Myles McCarthy	episodes=1 episode, 2011 	
character=Guard	name=Dariusz Slowik	episodes=1 episode, 2011 	
character=ND Fringe Agent 	name=Dariusz Slowik	episodes=1 episode, 2011 	
character=Soldier	name=Mark Curtin	episodes=1 episode, 2011 	
character=ER Nurse	name=Paulette Hinz	episodes=1 episode, 2011 	
character=Aide	name=Melissa Demmers	episodes=1 episode, 2011 	
character=Little Boy	name=Jakob Davies	episodes=1 episode, 2012 	
character=Melinda Bowman	name=Emily Jackson	episodes=1 episode, 2012 	
character=Teenage Boy	name=Harrison MacDonald	episodes=1 episode, 2012 	
character=Court Clerk	name=Kelly Konno	episodes=1 episode, 2012 	
character=Volunteer Helen	name=Patricia Cullen	episodes=1 episode, 2012 	
character=Chet Williams	name=Jeb Beach	episodes=1 episode, 2012 	
character=Observer on Street	name=Andrew Moxham	episodes=1 episode, 2012 	
character=Uniformed Loyalist	name=Colby Wilson	episodes=1 episode, 2012 	
character=Loyalist Guard 	name=Shane Warren Jones	episodes=1 episode, 2012 	
character=Doctor	name=Babak Haleky	episodes=1 episode, 2012 	
character=Hazmat Agent 	name=Jay Clift	episodes=1 episode, 2012 	
character=Medical Examiner Jones	name=Babak A. Motamed	episodes=1 episode, 2012 	
character=Kitty	name=Juliet Jarikre	episodes=1 episode, 2012 	
character=Truck Driver	name=Ron James	episodes=1 episode, 2012 	
character=Cashier	name=David Benedict Brown	episodes=1 episode, 2012 	
character=Rastafarian Clerk	name=H.A. Hunter	episodes=1 episode, 2012 	
character=Eames	name=Evan Frayne	episodes=1 episode, 2012 	
character=Chinese Customer	name=B.C. Lee	episodes=1 episode, 2012 	
character=Loyalist Guard 	name=Craig Fraser	episodes=1 episode, 2013 	
character=Abby Stockton	name=Kate Hodge	episodes=1 episode, 2008 	
character=FBI Tech Agent	name=Carlo Alban	episodes=1 episode, 2008 	
character=Dr. Nadim Patel	name=Alok Tewari	episodes=1 episode, 2008 	
character=Agent Chaperone	name=Jennifer Ikeda	episodes=1 episode, 2008 	
character=Father Kent	name=David Fonteno	episodes=1 episode, 2008 	
character=Doctor	name=Ty Jones	episodes=1 episode, 2008 	
character=Doctor 	name=Paul Urcioli	episodes=1 episode, 2008 	
character=Crewcut	name=David Bishins	episodes=1 episode, 2008 	
character=Indian Man	name=Shaun Shetty	episodes=1 episode, 2008 	
character=Robert Norton	name=Brian Cromwell	episodes=1 episode, 2008 	
character=Natalie Dancik	name=Michelle Harrison	episodes=1 episode, 2009 	
character=Susan Gillespe	name=Lauren K. Robek	episodes=1 episode, 2009 	
character=The Artist	name=Jeremy Shamos	episodes=1 episode, 2009 	
character=Co-Worker	name=Craig March	episodes=1 episode, 2009 	
character=Teenager	name=Jared Grimes	episodes=1 episode, 2009 	
character=Renee Davies	name=Jacqueline Ann Steuart	episodes=1 episode, 2009 	
character=Paramedic 	name=John Wu	episodes=1 episode, 2009 	
character=Manager	name=Ed Vassallo	episodes=1 episode, 2009 	
character=Security Guard	name=James Michalopolous	episodes=1 episode, 2009 	
character=MIT Guy 	name=Kevin Rogers	episodes=1 episode, 2009 	
character=Gavin	name=Chris LaPanta	episodes=1 episode, 2009 	
character=Man 	name=Chris LaPanta	episodes=1 episode, 2009 	
character=Cynthia Wiles	name=Susan Knight	episodes=1 episode, 2009 	
character=Helen	name=Kate Guyton	episodes=1 episode, 2009 	
character=Chinese Woman	name=Linda Feng	episodes=1 episode, 2009 	
character=ND Agent	name=Ignacio Rada	episodes=1 episode, 2009 	
character=Nurse 	name=Vee Dubois	episodes=1 episode, 2009 	
character=Rob Rosiello	name=Steven Garr	episodes=1 episode, 2009 	
character=Craig Shoen	name=Juan Riedinger	episodes=1 episode, 2010 	
character=Nurse Melissa	name=Juliana Wimbles	episodes=1 episode, 2010 	
character=Uniform	name=Dean Marshall	episodes=1 episode, 2010 	
character=Trooper Pekarski	name=David Orth	episodes=1 episode, 2010 	
character=Daniel Verona	name=Shawn Macdonald	episodes=1 episode, 2010 	
character=Homeless Man	name=Eric Lynch	episodes=1 episode, 2010 	
character=Dr. Halperin	name=Tibor Feldman	episodes=1 episode, 2010 	
character=Assistant	name=Erica Van Briel	episodes=1 episode, 2010 	
character=Young Woman	name=Michele Goyns	episodes=1 episode, 2010 	
character=Older Gentleman	name=Charles Andre	episodes=1 episode, 2010 	
character=Nate Duffy	name=Nikolas Filipovic	episodes=1 episode, 2010 	
character=Assistant Medical Examiner	name=Tariq Leslie	episodes=1 episode, 2010 	
character=Old Wyatt	name=John Hainsworth	episodes=1 episode, 2010 	
character=Foreman	name=Daniel Martin	episodes=1 episode, 2010 	
character=Hazmat in Truck	name=Peter Grasso	episodes=1 episode, 2010 	
character=Rose Son, Age 5	name=Nate Bell	episodes=1 episode, 2010 	
character=Nurse 	name=Hilary Jardine	episodes=1 episode, 2011 	
character=Michael Krick	name=Tom Stevens	episodes=1 episode, 2011 	
character=Matthew Mitnovitz	name=Connor Stanhope	episodes=1 episode, 2011 	
character=Richie	name=Matt Ellis	episodes=1 episode, 2011 	
character=Warren Blake	name=Paul Jarrett	episodes=1 episode, 2011 	
character=Uniform	name=Jean Paul Najm	episodes=1 episode, 2011 	
character=Teenage Girl	name=Natalie Grace	episodes=1 episode, 2011 	
character=Young John	name=Toby Verchere	episodes=1 episode, 2011 	
character=Sylvia	name=Monica Mustelier	episodes=1 episode, 2011 	
character=Man	name=Kurt Max Runte	episodes=1 episode, 2011 	
character=Boy	name=Eric Gibson	episodes=1 episode, 2011 	
character=Courier	name=Arvind Johal	episodes=1 episode, 2011 	
character=Soldier	name=Christopher Pearce	episodes=1 episode, 2011 	
character=Brian Bauer	name=David James Lewis	episodes=1 episode, 2012 	
character=Margaret	name=Jill Morrison	episodes=1 episode, 2012 	
character=Bomb Tech	name=Toby Levins	episodes=1 episode, 2012 	
character=Blond Man	name=Patrick Roccas	episodes=1 episode, 2012 	
character=TSA Agent	name=Brent Chapman	episodes=1 episode, 2012 	
character=Linda Greeley	name=Moya O	episodes=1 episode, 2012 	
character=Linda Greeley	name=Connell	episodes=1 episode, 2012 	
character=Nurse	name=Henry Mah	episodes=1 episode, 2012 	
character=Business Man	name=Aurelio DiNunzio	episodes=1 episode, 2012 	
character=Escalator Rider 	name=Yvette Dudley-Neuman	episodes=1 episode, 2012 	
character=Lead Tattie	name=Serge Jaswal	episodes=1 episode, 2012 	
character=Loyalist Guard 	name=Michael Nyuis	episodes=1 episode, 2012 	
character=Daniel	name=Aiden Finn	episodes=1 episode, 2012 	
character=Loyalist Guard With Tracker	name=Kasey Kieler	episodes=1 episode, 2012 	
character=Beard	name=Colby Chartrand	episodes=1 episode, 2012 	
character=FBI Agent 	name=Heming Hopkins	episodes=1 episode, 2012 	
character=Consoling Man	name=Don House	episodes=1 episode, 2012 	
character=Observer Physician 	name=Mackenzie Gray	episodes=1 episode, 2013 	
character=Butterfly Observer	name=Ryan Hesp	episodes=1 episode, 2013 	
character=Richard	name=Hoon Lee	episodes=1 episode, 2008 	
character=Ben	name=Scott Evans	episodes=1 episode, 2008 	
character=Male Resident	name=Jack O	episodes=1 episode, 2008 	
character=Male Resident	name=Connell	episodes=1 episode, 2008 	
character=Paula	name=Megan Neuringer	episodes=1 episode, 2008 	
character=Forensics Agent	name=Juliet Adair Pritner	episodes=1 episode, 2008 	
character=Maureen Stockton	name=Nance Williamson	episodes=1 episode, 2008 	
character=Pilot	name=Andreas Frank	episodes=1 episode, 2008 	
character=Nurse 	name=Leslie Eva Glaser	episodes=1 episode, 2008 	
character=Tattoo Girl	name=Alicia Goranson	episodes=1 episode, 2009 	
character=Agent Tevez	name=Aaron Pearl	episodes=1 episode, 2009 	
character=Jonathan Swift	name=Rafi Silver	episodes=1 episode, 2009 	
character=Agent Feiken	name=Daniel London	episodes=1 episode, 2009 	
character=Professor Miles Kinberg	name=Stephen Schnetzer	episodes=1 episode, 2009 	
character=Witness 	name=Albert Jones	episodes=1 episode, 2009 	
character=Dr. Miller	name=Laurie Williams	episodes=1 episode, 2009 	
character=Security Guard	name=Dee Jay Jackson	episodes=1 episode, 2009 	
character=Nurse	name=Marsha Regis	episodes=1 episode, 2009 	
character=Truck Driver	name=Andy Nez	episodes=1 episode, 2009 	
character=Young Peter	name=Nico Ghisi	episodes=1 episode, 2009 	
character=Security Guard	name=Norman Misura	episodes=1 episode, 2009 	
character=Fae	name=Diana Ha	episodes=1 episode, 2009 	
character=Dr. Newell	name=Deepti Gupta	episodes=1 episode, 2010 	
character=Professor Lime	name=Andrew McIlroy	episodes=1 episode, 2010 	
character=Shapeshifter	name=Christian Tessier	episodes=1 episode, 2010 	
character=Nana Staller	name=Magda Harout	episodes=1 episode, 2010 	
character=Mark Wilner	name=Darren Dolynski	episodes=1 episode, 2010 	
character=Police Captain	name=David Neale	episodes=1 episode, 2010 	
character=Laird Woomer	name=Tyler McClendon	episodes=1 episode, 2010 	
character=Dr. Alexandra Ross	name=Elizabeth McLaughlin	episodes=1 episode, 2010 	
character=Delivery Man	name=Paul Bae	episodes=1 episode, 2010 	
character=Mike, Bike Courier	name=Kristian Haas	episodes=1 episode, 2010 	
character=Featureless Figures	name=Holland Miller	episodes=1 episode, 2010 	
character=Celebrity Look-alike	name=Herod Gilani	episodes=1 episode, 2010 	
character=Jerry Bissell	name=Eric Keenleyside	episodes=1 episode, 2011 	
character=Jeremy Roman	name=Benjamin Wilkinson	episodes=1 episode, 2011 	
character=Bill	name=Michael Teigen	episodes=1 episode, 2011 	
character=Nun	name=Kerry Sandomirsky	episodes=1 episode, 2011 	
character=Don	name=Richard Keats	episodes=1 episode, 2011 	
character=Backseat Girl	name=Arielle Tuliao	episodes=1 episode, 2011 	
character=Karen	name=Lori Triolo	episodes=1 episode, 2011 	
character=Doorman	name=Peter New	episodes=1 episode, 2011 	
character=Manager	name=Patrick Keating	episodes=1 episode, 2011 	
character=EMT	name=Owen Kwong	episodes=1 episode, 2011 	
character=Brian O	name=Matteo Stefan	episodes=1 episode, 2011 	
character=Toole	name=Matteo Stefan	episodes=1 episode, 2011 	
character=Tactical Agent Spencer	name=Shaine Jones	episodes=1 episode, 2011 	
character=Fringe Doctor 	name=Gwenda Lorenzetti	episodes=1 episode, 2011 	
character=Jean	name=Gigi Friedman	episodes=1 episode, 2011 	
character=Civil Servant	name=Ian Hawkins	episodes=1 episode, 2011 	
character=Store Proprietor	name=Peter Hall	episodes=1 episode, 2011 	
character=Second Policeman	name=Mike Russell	episodes=1 episode, 2011 	
character=Marco	name=Alessandro Juliani	episodes=1 episode, 2012 	
character=ND Agent	name=Rochelle Okoye	episodes=1 episode, 2012 	
character=Diane Mallum	name=Meredith McGeachie	episodes=1 episode, 2012 	
character=Pilot	name=David Ingram	episodes=1 episode, 2012 	
character=Neo-Observer	name=Yurij Kis	episodes=1 episode, 2012 	
character=Doctor 	name=Brad Dryborough	episodes=1 episode, 2012 	
character=Techie	name=Edwin Perez	episodes=1 episode, 2012 	
character=Guard at Bridge	name=Broadus Mattison	episodes=1 episode, 2012 	
character=Escalator Rider 	name=Jane Hancock	episodes=1 episode, 2012 	
character=Half Egg Face Loyalist	name=Terrance Leigh	episodes=1 episode, 2012 	
character=ND Agent	name=Chantele Francis	episodes=1 episode, 2012 	
character=Agent Solerno	name=Gary Gill	episodes=1 episode, 2012 	
character=Jacket	name=Jason Duiven	episodes=1 episode, 2012 	
character=Loyalist Guard in Hummer 	name=Howie Lai	episodes=1 episode, 2013 	
character=Trevor	name=Rustin Gresiuk	episodes=1 episode, 2013 	
character=Lead Observer Scientist	name=Kristian Thorson	episodes=1 episode, 2013 	
character=Nurse 	name=Cindy Cheung	episodes=1 episode, 2008 	
character=Frank the Orderly	name=Kevin Carolan	episodes=1 episode, 2008 	
character=Melanie 	name=Catia Ojeda	episodes=1 episode, 2008 	
character=Secretary	name=Catia Ojeda	episodes=1 episode, 2008 	
character=Bartender	name=Sean Mahon	episodes=1 episode, 2008 	
character=Gary	name=José Ramón Rosario	episodes=1 episode, 2008 	
character=Nina	name=Jacqueline Hendy	episodes=1 episode, 2008 	
character=Assistant	name=Jacqueline Hendy	episodes=1 episode, 2008 	
character=Young Pastor	name=Clark Jackson	episodes=1 episode, 2008 	
character=Co-Pilot	name=Dennis Mockler	episodes=1 episode, 2008 	
character=Jill Leiter	name=Emily Holmes	episodes=1 episode, 2009 	
character=Patrick Hickey	name=John Tench	episodes=1 episode, 2009 	
character=Store Clerk	name=Amitai Marmorstein	episodes=1 episode, 2009 	
character=Mr. Rubel	name=Ken Kramer	episodes=1 episode, 2009 	
character=Doctor	name=Christine Toy Johnson	episodes=1 episode, 2009 	
character=Slim Joe	name=Keith Dallas	episodes=1 episode, 2009 	
