# http://fitlayout.github.io/resource/art50 -> https://www.imdb.com/title/tt1796960/fullcredits/
character=Carrie Mathison	name=Claire Danes	episodes=96 episodes, 2011-2020 	
character=General Josiah Loch	name=Pope Jerrod	episodes=1 episode, 2014 	
character=Store Owner	name=Shabbir Ahmed	episodes=1 episode, 2014 	
character=Waitress	name=Lisa Greenstein	episodes=1 episode, 2014 	
character=Colonel Haugen	name=Tobias Santelmann	episodes=1 episode, 2015 	
character=Mrs. Youssef	name=Darina Al Joundi	episodes=1 episode, 2015 	
character=Tech 	name=Sascha Quade	episodes=1 episode, 2015 	
character=Nicki	name=Erin Darke	episodes=1 episode, 2017 	
character=Viktor	name=Ronald Guttman	episodes=1 episode, 2017 	
character=General	name=John Bolger	episodes=1 episode, 2017 	
character=Amir Bastami	name=Alain Ali Washnevsky	episodes=1 episode, 2017 	
character=Officer Headlee	name=Taylor Selé	episodes=1 episode, 2018 	
character=Jim Lippard	name=James Lloyd Reynolds	episodes=1 episode, 2018 	
character=Agha Jan	name=Kevork Malikyan	episodes=1 episode, 2020 	
character=Claude Geroux	name=Jon Lindstrom	episodes=1 episode, 2020 	
character=Saleem Sinai	name=Rikin Vasani	episodes=1 episode, 2020 	
character=CNN Producer	name=Gaby Hoffmann	episodes=1 episode, 2011 	
character=Calhoun	name=Jeremiah Birkett	episodes=1 episode, 2011 	
character=Friend	name=Annika Boras	episodes=1 episode, 2011 	
character=Jessica	name=Annika Boras	episodes=1 episode, 2011 	
character=Zahira Gohar	name=Hend Ayoub	episodes=1 episode, 2011 	
character=Sweeper	name=Ronald Ogden	episodes=1 episode, 2011 	
character=Reporter at Farragut Square	name=Laura Palka	episodes=1 episode, 2011 	
character=Federale	name=Viktor Hernandez	episodes=1 episode, 2011 	
character=Rex Henning	name=John Finn	episodes=1 episode, 2012 	
character=Mike	name=Alon Aboutboul	episodes=1 episode, 2012 	
character=Banker One	name=Robert Newman	episodes=1 episode, 2013 	
character=Forensic Tech	name=Brett Gentile	episodes=1 episode, 2013 	
character=Angela	name=Kimberley Drummond	episodes=1 episode, 2013 	
character=Nassrin	name=Naz Deravian	episodes=1 episode, 2013 	
character=Admiral	name=Lawrence Clayton	episodes=1 episode, 2013 	
character=Clark Russel	name=Carl Beukes	episodes=1 episode, 2014 	
character=Young Analyst	name=Luke Tyler	episodes=1 episode, 2014 	
character=Joint Terminal Attack Controller	name=James Gracie	episodes=1 episode, 2014 	
character=Dr. Malik Gorshani	name=Peter Butler	episodes=1 episode, 2014 	
character=Soldier	name=Assad Raja	episodes=1 episode, 2014 	
character=Contractor	name=Kenneth Fok	episodes=1 episode, 2014 	
character=Mother	name=Kira Wilkinson	episodes=1 episode, 2014 	
character=Kiran	name=Kira Wilkinson	episodes=1 episode, 2014 	
character=Woman	name=Claire Berlein	episodes=1 episode, 2014 	
character=Claudia	name=Emily Cox	episodes=1 episode, 2015 	
character=Cameraman	name=Tim Kalkhof	episodes=1 episode, 2015 	
character=Fatima	name=Atossa Leoni	episodes=1 episode, 2015 	
character=Tech 	name=Eva Maria Jost	episodes=1 episode, 2015 	
character=Sheik Hafiz	name=Samir Fuchs	episodes=1 episode, 2015 	
character=Reporter	name=Greg Mckenzie	episodes=1 episode, 2015 	
character=Mina Becker	name=Natacha Karam	episodes=1 episode, 2017 	
character=The Jeweler	name=Dov Tiefenbach	episodes=1 episode, 2017 	
character=Deputy Chief Jansen	name=Gary Perez	episodes=1 episode, 2017 	
character=Judge Liam Curran	name=Adam Grupper	episodes=1 episode, 2017 	
character=ASAC Agent	name=Carey Van Driest	episodes=1 episode, 2017 	
character=Ronald	name=A.J. Shively	episodes=1 episode, 2017 	
character=Agent Loya	name=Roberto De Felice	episodes=1 episode, 2017 	
character=Wallace	name=Dane Rhodes	episodes=1 episode, 2018 	
character=Madison Bell	name=Thomas Schall	episodes=1 episode, 2018 	
character=Tom	name=Todd Cerveris	episodes=1 episode, 2018 	
character=Young Anna	name=Julie Engelbrecht	episodes=1 episode, 2020 	
character=Operative in Moscow	name=Joanna Fyllidou	episodes=1 episode, 2020 	
character=Lonnie	name=Austin Basis	episodes=1 episode, 2020 	
character=Robin	name=Anna Holbrook	episodes=1 episode, 2020 	
character=Omar	name=Ash Goldeh	episodes=1 episode, 2020 	
character=General Aziz	name=Adnan Jaffar	episodes=1 episode, 2020 	
character=Bilal Khan	name=Omar Farahmand	episodes=1 episode, 2020 	
character=Judge Jeffrey Turner	name=Michael McKean	episodes=1 episode, 2011 	
character=Cashier	name=Elizabeth Potthast	episodes=1 episode, 2011 	
character=Patron in Diner	name=Tom Turbiville	episodes=1 episode, 2011 	
character=Chaplin	name=Seth Gilliam	episodes=1 episode, 2012 	
character=James Carrington	name=Zach Appelman	episodes=1 episode, 2012 	
character=Warden Jack Pritchard	name=Victor Slezak	episodes=1 episode, 2012 	
character=Lebanese Officer	name=Danny Boushebel	episodes=1 episode, 2012 	
character=TAC Team Leader	name=Dane Northcutt	episodes=1 episode, 2012 	
character=Sloane Nelson	name=Edelen McWilliams	episodes=1 episode, 2012 	
character=Secret Service Passenger	name=Robert Brubaker	episodes=1 episode, 2012 	
character=Kenny Estes	name=DeAngelo Harris	episodes=1 episode, 2012 	
character=Grandma	name=Joanna Merlin	episodes=1 episode, 2013 	
character=Partner	name=Keith Flippen	episodes=1 episode, 2013 	
character=IRGC Interrogator	name=Eyas Younis	episodes=1 episode, 2013 	
character=Reporter	name=Fiona Choi	episodes=1 episode, 2013 	
character=Mr. Sherazi	name=Parviz Sayyad	episodes=1 episode, 2013 	
character=Security Guard	name=Vaughn Lucas	episodes=1 episode, 2014 	
character=Haji	name=Irshaad Ally	episodes=1 episode, 2014 	
character=Babar	name=Ali Mahmood Bukhari	episodes=1 episode, 2014 	
character=Burqa	name=Hemali Juta-Pillay	episodes=1 episode, 2014 	
character=Interviewer	name=Bhavna Singh	episodes=1 episode, 2014 	
character=Infrantry Major	name=Shahir Chundra	episodes=1 episode, 2014 	
character=Philipp Becker	name=Torben Liebrecht	episodes=1 episode, 2015 	
character=Polygrapher	name=Matthew Bates	episodes=1 episode, 2015 	
character=Shatha Khalil	name=Sarah Agha	episodes=1 episode, 2015 	
character=Wilhelm	name=Max Urlacher	episodes=1 episode, 2015 	
character=Distinctive Mask Guy	name=Tom-Veit Weber	episodes=1 episode, 2015 	
character=Danny Jones	name=Neal Matarazzo	episodes=1 episode, 2017 	
character=Police Officer	name=Carolyn Baeumler	episodes=1 episode, 2017 	
character=Steve Beverly	name=Vin Knight	episodes=1 episode, 2017 	
character=Andrew Keane	name=Ryan Shibley	episodes=1 episode, 2017 	
character=Judge Julius Randolph	name=Robert Catrini	episodes=1 episode, 2018 	
character=General Yakushin	name=Misha Kuznetsov	episodes=1 episode, 2018 	
character=Jim Turrow	name=David Hunt	episodes=1 episode, 2020 	
character=Judge	name=Robert Clotworthy	episodes=1 episode, 2020 	
character=Judge Haziq Qadir	name=Zineb Triki	episodes=1 episode, 2020 	
character=CIA Officer	name=Mehdi Lamrini	episodes=1 episode, 2020 	
character=Kabul Prison Warden	name=Ray Haratian	episodes=1 episode, 2020 	
character=Dan	name=Adam Boyer	episodes=1 episode, 2011 	
character=Agent Kandarian	name=Sebastian La Cause	episodes=1 episode, 2011 	
character=Demmie	name=Lisa Varga	episodes=1 episode, 2011 	
character=Delta Commander	name=Jeremy Harrison	episodes=1 episode, 2011 	
character=Newscaster	name=Kim Holderness	episodes=1 episode, 2012 	
character=Waitress	name=Nneoma Sampson	episodes=1 episode, 2012 	
character=Navy SEAL 1	name=Connor	episodes=1 episode, 2012 	
character=Navy SEAL 1	name=Paul Andrew O	episodes=1 episode, 2012 	
character=Rashid	name=Asif Taj	episodes=1 episode, 2012 	
character=Ahmed	name=Neema Atri	episodes=1 episode, 2012 	
character=Patricia Cooper	name=Stephanie J. Block	episodes=1 episode, 2013 	
character=Dariush Rahimi	name=Khalid Benchagra	episodes=1 episode, 2013 	
character=General Pfister	name=Peter Bradbury	episodes=1 episode, 2013 	
character=Waitress	name=Gezell Fleming	episodes=1 episode, 2013 	
character=Paco	name=Carlos Olivieri	episodes=1 episode, 2013 	
character=Mimi	name=Elle Richardson	episodes=1 episode, 2013 	
character=Marine Sergeant	name=Craig Hawks	episodes=1 episode, 2014 	
character=Marwand	name=Roberto Kyle	episodes=1 episode, 2014 	
character=Bill Franzen	name=Neil Coppen	episodes=1 episode, 2014 	
character=Vendor	name=Mogamatdien Basadien	episodes=1 episode, 2014 	
character=Pakistani News Anchor	name=Tufail Khan	episodes=1 episode, 2014 	
character=Jana	name=Luise Heyer	episodes=1 episode, 2015 	
character=Theo	name=Marc Benjamin	episodes=1 episode, 2015 	
character=Analyst	name=Stacey Swift	episodes=1 episode, 2015 	
character=Abdullah	name=Eray Egilmez	episodes=1 episode, 2015 	
character=Dmitri	name=Konstantin Frolov	episodes=1 episode, 2015 	
character=Gabi	name=Shai Vaknine	episodes=1 episode, 2015 	
character=Hacker 	name=Tomasz Robak	episodes=1 episode, 2015 	
character=Homeless Man	name=Arthur French	episodes=1 episode, 2017 	
character=Liz Nash	name=Celeste Den	episodes=1 episode, 2017 	
character=Officer Jensen	name=Stephen Beach	episodes=1 episode, 2017 	
character=Hakim	name=Kade Wise	episodes=1 episode, 2017 	
character=Tina Meyers	name=Felicia Greenfield	episodes=1 episode, 2017 	
character=Kira Korrigan	name=Liz McGeever	episodes=1 episode, 2018 	
character=Jerome Jr.	name=Dane Davenport	episodes=1 episode, 2018 	
character=Judge	name=Julian Gamble	episodes=1 episode, 2018 	
character=Local Police Officer	name=Erica Frene	episodes=1 episode, 2018 	
character=Officer Jarewski	name=Christopher Jon Gombos	episodes=1 episode, 2018 	
character=Aleksandr	name=Yosef Podolski	episodes=1 episode, 2018 	
character=Doug	name=Neill	episodes=1 episode, 2020 	
character=Doug	name=Jonjo O	episodes=1 episode, 2020 	
character=News Anchor	name=Danielle Nottingham	episodes=1 episode, 2020 	
character=Urchin	name=Kemaal Deen-Ellis	episodes=1 episode, 2020 	
character=Lieutenant Joss Morrell	name=Jordan Duvigneau	episodes=1 episode, 2020 	
character=Second Guard	name=Damon Zolfaghari	episodes=1 episode, 2020 	
character=Amadullah	name=Shamail Ali	episodes=1 episode, 2020 	
character=Vocalist	name=Patrice Pitman Quinn	episodes=1 episode, 2020 	
character=Assistant	name=Rebecca Koon	episodes=1 episode, 2011 	
character=Faisel	name=Rebecca Koon	episodes=1 episode, 2011 	
character=Sidney	name=Bob Elkins	episodes=1 episode, 2011 	
character=Reporter	name=Jeff Wicker	episodes=1 episode, 2011 	
character=Paris	name=Lucius Baston	episodes=1 episode, 2012 	
character=FBI Liason	name=Paul Rolfes	episodes=1 episode, 2012 	
character=Police Officer	name=Scott Thomas	episodes=1 episode, 2012 	
character=Omar	name=Raja Deka	episodes=1 episode, 2012 	
character=Driver	name=James G. Martin Jr.	episodes=1 episode, 2012 	
character=Reynolds	name=Shelton Grant	episodes=1 episode, 2012 	
character=Navy SEAL 2	name=Peter Allende	episodes=1 episode, 2012 	
character=Olivia	name=Autumn Dial	episodes=1 episode, 2013 	
character=GYN	name=Cindy Cheung	episodes=1 episode, 2013 	
character=Judge Robert Strauss	name=David Fonteno	episodes=1 episode, 2013 	
character=Lorraine	name=Michele Lawler	episodes=1 episode, 2013 	
character=Driver	name=Rob Priester	episodes=1 episode, 2013 	
character=Imam	name=Rafael Fuentes	episodes=1 episode, 2013 	
character=Guard	name=Ames El Akil	episodes=1 episode, 2013 	
character=Akbari	name=Ames El Akil	episodes=1 episode, 2013 	
character=PMC	name=Craig Macrae	episodes=1 episode, 2014 	
character=PMC Gary	name=Robert Hobbs	episodes=1 episode, 2014 	
character=Frat Boy	name=Armand Aucamp	episodes=1 episode, 2014 	
character=Taliban Fighter	name=Ernest St.Clair	episodes=1 episode, 2014 	
character=Reaper Pilot	name=Stephen Newton	episodes=1 episode, 2014 	
character=Nurse	name=Elisha Mudly	episodes=1 episode, 2014 	
character=Obaid	name=Rameez Nordien	episodes=1 episode, 2014 	
character=Pakistani Woman	name=Tarryn Steyn	episodes=1 episode, 2014 	
character=Ayla	name=Lea van Acken	episodes=1 episode, 2015 	
character=Dr. Droz	name=Markus von Lingen	episodes=1 episode, 2015 	
character=Ambassador Jamil	name=Adnan Maral	episodes=1 episode, 2015 	
character=Village Priest	name=Rainer Reiners	episodes=1 episode, 2015 	
character=Steffan	name=Joshio Marlon	episodes=1 episode, 2015 	
character=Control Man	name=Jan Dose	episodes=1 episode, 2015 	
character=Command 	name=Jan Dose	episodes=1 episode, 2015 	
character=Hacker 	name=Juno Meinecke	episodes=1 episode, 2015 	
character=Mbengah	name=Ian Duff	episodes=1 episode, 2017 	
character=Randy Barbetta	name=Matt Dellapina	episodes=1 episode, 2017 	
character=Josie	name=Lorrie Odom	episodes=1 episode, 2017 	
character=Driver	name=Rod Brogan	episodes=1 episode, 2017 	
character=Dar	name=Rod Brogan	episodes=1 episode, 2017 	
character=Bodega Proprietor	name=Liche Ariza	episodes=1 episode, 2017 	
character=Hotel Desk Clerk Dent	name=Enya Flack	episodes=1 episode, 2018 	
character=FBI Agent	name=Brian Brightman	episodes=1 episode, 2018 	
character=Pat Steyer, Esq.	name=Ricky Wayne	episodes=1 episode, 2018 	
character=Press Secretary	name=Sue Jean Kim	episodes=1 episode, 2018 	
character=Stasi Officer 	name=Stephan Goldbach	episodes=1 episode, 2020 	
character=Pentagon Spokesperson	name=Jennifer Armour	episodes=1 episode, 2020 	
character=Special Operator	name=Craig Stein	episodes=1 episode, 2020 	
character=Presiding Judge	name=Nasser Memarzia	episodes=1 episode, 2020 	
character=Talib	name=Fehd Benchemsi	episodes=1 episode, 2020 	
character=Afghan Gate Guard	name=Hicham Goullal	episodes=1 episode, 2020 	
character=Vocalist	name=Dwight Trible	episodes=1 episode, 2020 	
character=Reynoso	name=Kyle Stringer	episodes=1 episode, 2020 	
character=PFC Fernandez	name=John Gabriel Rodriquez	episodes=1 episode, 2011 	
character=Patrolman	name=Anthony Addabbo	episodes=1 episode, 2011 	
character=Retired Soldier Davis	name=Ari Blinder	episodes=1 episode, 2011 	
character=Younger Vet	name=Des Epps	episodes=1 episode, 2011 	
character=UPS Agent	name=Justin M. Boyd	episodes=1 episode, 2011 	
character=Photographer	name=Chris Rogus	episodes=1 episode, 2011 	
character=Sergeant	name=Zeeko Zaki	episodes=1 episode, 2012 	
character=Rebecca Morrison	name=Abby Corrigan	episodes=1 episode, 2012 	
character=TAC Team Agent	name=Scott Parks	episodes=1 episode, 2012 	
character=Maurice Johnston	name=Tony Senzamici	episodes=1 episode, 2012 	
character=Man	name=Michael MacCauley	episodes=1 episode, 2012 	
character=Sentry	name=TJ Hassan	episodes=1 episode, 2012 	
character=Watcher 	name=Matthew Rimmer	episodes=1 episode, 2013 	
character=Roxanne	name=Lisa Tharps	episodes=1 episode, 2013 	
character=Security Guard	name=Fernando Martinez	episodes=1 episode, 2013 	
character=Holly	name=Caity Brewer	episodes=1 episode, 2013 	
character=Wife	name=Iliana Garcia	episodes=1 episode, 2013 	
character=Imam	name=Iliana Garcia	episodes=1 episode, 2013 	
character=Security Guard	name=Anas El Akil	episodes=1 episode, 2013 	
character=Reaper Captain	name=Edith Snow	episodes=1 episode, 2013 	
character=Assistant	name=Mohamed Choubi	episodes=1 episode, 2013 	
character=Javadi	name=Mohamed Choubi	episodes=1 episode, 2013 	
character=Staff Nurse	name=Nazli George	episodes=1 episode, 2014 	
character=Marine Sergeant	name=Mzu Ntantiso	episodes=1 episode, 2014 	
character=Wife	name=Michal Banai	episodes=1 episode, 2014 	
character=Haqqani	name=Michal Banai	episodes=1 episode, 2014 	
character=Warrior	name=Sharief Smith	episodes=1 episode, 2014 	
character=Man in Car	name=Vasim Vhora	episodes=1 episode, 2014 	
character=Boy	name=Dayne Green	episodes=1 episode, 2014 	
character=Anders	name=Joel Basman	episodes=1 episode, 2015 	
character=Gregor	name=Max Mauff	episodes=1 episode, 2015 	
character=Radwan	name=Uriel Emil	episodes=1 episode, 2015 	
character=Hacker 	name=Sophie Pfennigstorf	episodes=1 episode, 2015 	
character=Lead Guard	name=Christoph Glaubacker	episodes=1 episode, 2015 	
character=Proprietor	name=Michael Schiller	episodes=1 episode, 2015 	
character=Female Secret Service Agent	name=Sejal Shah	episodes=1 episode, 2017 	
character=Secret Service Agent 	name=Gene Gabriel	episodes=1 episode, 2017 	
character=Federal Judge	name=Jane Dashow	episodes=1 episode, 2017 	
character=Gun Shop Proprietor	name=Chris Barnes	episodes=1 episode, 2017 	
character=School Principal Beth	name=Lisha McKoy	episodes=1 episode, 2017 	
character=Palestinian Man	name=Mansour Badri	episodes=1 episode, 2017 	
character=FBI Gunman	name=Christopher Parker	episodes=1 episode, 2018 	
character=Shari Braun	name=Tess Malis Kincaid	episodes=1 episode, 2018 	
character=Sec. of Defence Mullen	name=John Newberg	episodes=1 episode, 2018 	
character=RCB Reporter	name=Sarah East	episodes=1 episode, 2018 	
character=Hay-Adams Desk Clerk	name=Craig Pearman	episodes=1 episode, 2018 	
character=Foreign Minister	name=Sacha Seberg	episodes=1 episode, 2020 	
character=Dr. Foley	name=Anna Francolini	episodes=1 episode, 2020 	
character=Major Landau	name=Derrick Williams	episodes=1 episode, 2020 	
character=Assistant	name=Norma Butikofer	episodes=1 episode, 2020 	
character=Zabel	name=Norma Butikofer	episodes=1 episode, 2020 	
character=Gahiz Electronic Vendor	name=Azizullah Hamrah	episodes=1 episode, 2020 	
character=Vocalist	name=Brandon Coleman	episodes=1 episode, 2020 	
character=Josh	name=Josh Segarra	episodes=1 episode, 2011 	
character=Newscaster	name=Sasha Rionda	episodes=1 episode, 2011 	
character=CIA Officer 	name=Cynthia Barrett	episodes=1 episode, 2011 	
character=Reporter	name=Elena Bargo	episodes=1 episode, 2011 	
character=Discussion Leader	name=George Bryant II	episodes=1 episode, 2011 	
character=Tad Groote	name=Jacob Leinbach	episodes=1 episode, 2012 	
character=TAC Team Agent	name=Jason Wesley	episodes=1 episode, 2012 	
character=Diane Johnston	name=Bethany Geaber	episodes=1 episode, 2012 	
character=Guard	name=Hakim Callender	episodes=1 episode, 2012 	
character=Lulu	name=Yakini Horn	episodes=1 episode, 2012 	
character=Imam	name=Haythem Noor	episodes=1 episode, 2012 	
character=Stunt Driver Dana	name=Jessica Ford	episodes=1 episode, 2012 	
character=Repaer Lieutenant	name=Jimmy Gonzales	episodes=1 episode, 2013 	
character=Monroe	name=Aaron Serotsky	episodes=1 episode, 2013 	
character=IRGC Commander	name=Younes Bouab	episodes=1 episode, 2013 	
character=Sandy	name=Garrett Hines	episodes=1 episode, 2013 	
character=Dr. Avery	name=Randall Taylor	episodes=1 episode, 2013 	
character=Special Justice	name=Michael E. Sanders	episodes=1 episode, 2013 	
character=Thief	name=Raul Alcocer	episodes=1 episode, 2013 	
character=Watcher 	name=Thomas Clark	episodes=1 episode, 2013 	
character=Reception Clerk	name=Aziz Laalaj	episodes=1 episode, 2013 	
character=Aide	name=Chi Mhende	episodes=1 episode, 2014 	
character=Mohsen	name=Zain Mia	episodes=1 episode, 2014 	
character=Priest	name=Dennis Benneyworth	episodes=1 episode, 2014 	
character=Woman	name=Esperanzia Adonis	episodes=1 episode, 2014 	
character=ICU Nurse 	name=Michelle Beck	episodes=1 episode, 2015 	
character=Lenya	name=Nikola Kastner	episodes=1 episode, 2015 	
character=Hotel Worker	name=Janina Agnes Schröder	episodes=1 episode, 2015 	
character=Clinic Assistant	name=Adrian Zwicker	episodes=1 episode, 2015 	
character=Female Hacker	name=Tinka Fürst	episodes=1 episode, 2015 	
character=Syrian Woman	name=Myriam Abbas	episodes=1 episode, 2015 	
character=Clarence Jackson	name=Leajato Amara Robinson	episodes=1 episode, 2016 	
character=Secret Service Agent 	name=Nicholas Tucci	episodes=1 episode, 2017 	
character=Tan	name=Marcus Choi	episodes=1 episode, 2017 	
character=Supermarket Employee	name=Bill Winkler	episodes=1 episode, 2017 	
character=EMT	name=Rebecca White	episodes=1 episode, 2017 	
character=Hotel Manager	name=Faust Checho	episodes=1 episode, 2017 	
character=Pickup Truck Driver	name=Tracy Friedman	episodes=1 episode, 2017 	
character=EMT Julie	name=Melissa Navia	episodes=1 episode, 2018 	
character=VP Aide Kyle	name=Drew Matthews	episodes=1 episode, 2018 	
character=Mrs. Julia Clarke	name=Brittany Guess	episodes=1 episode, 2018 	
character=Male Reporter	name=James Edward Thomas	episodes=1 episode, 2018 	
character=Clint	name=Laureen E. Smith	episodes=1 episode, 2018 	
character=Mother	name=Laureen E. Smith	episodes=1 episode, 2018 	
character=Chief Justice	name=John Moon	episodes=1 episode, 2018 	
character=Kamasi Washington	name=Kamasi Washington	episodes=1 episode, 2020 	
character=U.S. Bookstore Owner	name=Jon Eiswerth	episodes=1 episode, 2020 	
character=Afghan Court Police Officer	name=Mamad Heidari	episodes=1 episode, 2020 	
character=Mangal	name=Ebadullah Raihan	episodes=1 episode, 2020 	
character=Driver	name=Korey Jackson	episodes=1 episode, 2011 	
character=Stuart Strickland	name=Anthony Reynolds	episodes=1 episode, 2011 	
character=FBI Special Agent 	name=Henry Bazemore Jr.	episodes=1 episode, 2011 	
character=Alan Quick	name=Dan Mengini	episodes=1 episode, 2011 	
character=Interviewer	name=L. Derek Leonidoff	episodes=1 episode, 2011 	
character=Mohammed Al Ghamdi	name=Fawad Siddiqui	episodes=1 episode, 2012 	
character=Detective	name=Jon Kohler	episodes=1 episode, 2012 	
character=News Anchor	name=Genevive Barker	episodes=1 episode, 2012 	
character=Karl	name=Stephen Delaney	episodes=1 episode, 2012 	
character=TAC Team Leader	name=Judd Lormand	episodes=1 episode, 2013 	
character=Border Guard	name=Jessejames Locorriere	episodes=1 episode, 2013 	
character=Lawyer	name=Aaron Farb	episodes=1 episode, 2013 	
character=Shotgun	name=Aurelio Lima	episodes=1 episode, 2013 	
character=Man	name=Hichame Ouraqa	episodes=1 episode, 2013 	
character=Female Analyst	name=Bianca Simone Mannie	episodes=1 episode, 2014 	
character=Guard	name=Dean Johnson	episodes=1 episode, 2014 	
character=PAF Lieutenant	name=Yves Garnier	episodes=1 episode, 2014 	
character=Assistant	name=Lucie Pohl	episodes=1 episode, 2015 	
character=Dr. Rudolf	name=Jörg Hartmann	episodes=1 episode, 2015 	
character=Driver	name=Andrei Zayats	episodes=1 episode, 2015 	
character=Nurse Sheehan	name=Gameela Wright	episodes=1 episode, 2016 	
character=CNB Reporter	name=Todd Alan Crain	episodes=1 episode, 2017 	
character=Reporter 	name=Steven Fabian	episodes=1 episode, 2017 	
character=Mossad Tech	name=Yassine Fadel	episodes=1 episode, 2017 	
character=Burly Cop	name=Jeff Gurner	episodes=1 episode, 2017 	
character=Co-Worker 	name=Michelle Simone Miller	episodes=1 episode, 2017 	
character=CNB News Anchor	name=Diana Perez	episodes=1 episode, 2017 	
character=Francisco	name=Kevin Martinez Rivera	episodes=1 episode, 2017 	
character=EMT Nate	name=Brian Michael Smith	episodes=1 episode, 2018 	
character=James Schroder	name=Scott Poythress	episodes=1 episode, 2018 	
character=Hay-Adams Concierge	name=Euseph Messiah	episodes=1 episode, 2018 	
character=ER Nurse	name=Yvonne Valadez	episodes=1 episode, 2018 	
character=Kevin Chan	name=Austin Ku	episodes=1 episode, 2018 	
character=FBI Driver	name=Nick LaRocca	episodes=1 episode, 2018 	
character=Airman Barajas	name=Esteban Benito	episodes=1 episode, 2020 	
character=First Guard	name=Adonis Kapsalis	episodes=1 episode, 2020 	
character=Night Nurse Emily	name=Renée Castle	episodes=1 episode, 2020 	
character=Security Council Chairman	name=K.T. Thangavelu	episodes=1 episode, 2020 	
character=Houseman	name=Zaki Rana	episodes=1 episode, 2020 	
character=FPS Officer 	name=Matthew Cornwell	episodes=1 episode, 2011 	
character=Detective	name=Paul Urcioli	episodes=1 episode, 2011 	
character=Reporter 	name=Todd Truley	episodes=1 episode, 2011 	
character=Guest	name=Crystal Garrett	episodes=1 episode, 2011 	
character=Marine 	name=Craig Galloway	episodes=1 episode, 2011 	
character=Attendant	name=Sean Russel Herman	episodes=1 episode, 2012 	
character=Team Leader	name=Gal Amitai	episodes=1 episode, 2012 	
character=Foreign Correspondent	name=Tom Werme	episodes=1 episode, 2012 	
character=Navy Seal 2	name=Scott Puckett	episodes=1 episode, 2012 	
character=Chaplin	name=Clay Heatley	episodes=1 episode, 2012 	
character=Bailiff Cynthia Touhy	name=Jennifer Christa Palmer	episodes=1 episode, 2013 	
character=Iranian Agent	name=Moneer Yaqubi	episodes=1 episode, 2013 	
character=Crazy Patient	name=Robert Haulbrook	episodes=1 episode, 2013 	
character=Analyst	name=Casey Brancato	episodes=1 episode, 2013 	
character=Doctor	name=Anas Bensalama	episodes=1 episode, 2013 	
character=Admiral	name=Stephen Jennings	episodes=1 episode, 2014 	
character=Taliban Spokesman	name=Abu Baker	episodes=1 episode, 2014 	
character=Amena	name=Aylin Tezel	episodes=1 episode, 2015 	
character=Grete	name=Franziska Weisz	episodes=1 episode, 2015 	
character=Demet	name=Gizem Emre	episodes=1 episode, 2015 	
character=Mother in Chapel	name=Silvina Buchbauer	episodes=1 episode, 2015 	
character=Ali	name=Hussi Kutlucan	episodes=1 episode, 2015 	
character=Justine	name=Kaitlin Mesh	episodes=1 episode, 2016 	
character=National Guardsman	name=Ariel Eliaz	episodes=1 episode, 2017 	
character=Officer Murphy	name=Patrick Noonan	episodes=1 episode, 2017 	
character=Officer Vreeland	name=Joe Giorgio	episodes=1 episode, 2017 	
character=Co-Worker 	name=William Farrell	episodes=1 episode, 2017 	
character=Teacher	name=Guy Olivieri	episodes=1 episode, 2017 	
character=Reporter 	name=Roxana Saberi	episodes=1 episode, 2017 	
character=Jen Rosenberg	name=Amy Parrish	episodes=1 episode, 2018 	
character=FBI Commander	name=Robert Pralgo	episodes=1 episode, 2018 	
character=Protester	name=Kevin Wayne	episodes=1 episode, 2018 	
character=Parking Lot Attendant	name=Jock McKissic	episodes=1 episode, 2018 	
character=Female Reporter	name=Christina Bach	episodes=1 episode, 2018 	
character=FBI Tech	name=Vince Pisani	episodes=1 episode, 2018 	
character=Russian Ops Guy	name=Roman Roytberg	episodes=1 episode, 2018 	
character=Prison Warden Ortiz	name=Antwan Mills	episodes=1 episode, 2018 	
character=Russian Interpreter	name=Zoltán Zicherman	episodes=1 episode, 2018 	
character=Nurse Laura	name=Georgia Goodman	episodes=1 episode, 2020 	
character=German Bookstore Clerk	name=Peter Arpesella	episodes=1 episode, 2020 	
character=Hotel CIA Security Guard	name=Anas El Baz	episodes=1 episode, 2020 	
character=Pakistani News Anchor	name=Mariam Haque	episodes=1 episode, 2020 	
character=Second Guard	name=Mark Ebulué	episodes=1 episode, 2020 	
character=Warzer Zafir	name=Ali Suliman	episodes=1 episode, 2011 	
character=Broker	name=Ravi Naidu	episodes=1 episode, 2011 	
character=Young Man	name=Bryan Adrian	episodes=1 episode, 2011 	
character=FPS Officer 	name=Angelo Datseris	episodes=1 episode, 2011 	
character=Reporter 	name=Chris Bretscher	episodes=1 episode, 2011 	
character=Teacher	name=Susan Savoie	episodes=1 episode, 2012 	
character=Flight Attendant	name=Tamara Arias	episodes=1 episode, 2012 	
character=Hezbollah Leader	name=Hilal Kaboub	episodes=1 episode, 2012 	
character=Senator Jocelyn Cates	name=Tammy Arnold	episodes=1 episode, 2013 	
character=Iraqi Cop 1	name=Abraham Makany	episodes=1 episode, 2013 	
character=Orderly 	name=Thomas Elliott	episodes=1 episode, 2013 	
character=First Woman	name=Farida Bouaazaoui	episodes=1 episode, 2013 	
character=Medical Technician	name=Sandi Scheier	episodes=1 episode, 2013 	
character=Reporter 	name=Samantha Hines	episodes=1 episode, 2013 	
character=Marine	name=Nic Rasenti	episodes=1 episode, 2014 	
