# http://fitlayout.github.io/resource/art31 -> https://www.imdb.com/title/tt3488298/fullcredits/
character=Barb Hanlon	name=Felicity Huffman	episodes=29 episodes, 2015-2017 	
character=Churchgoer	name=Rosendo 	episodes=2 episodes, 2015 	
character=News Reporter	name=Kristin McKenzie Rice	episodes=2 episodes, 2015 	
character=Deputy	name=Luis John Soria	episodes=2 episodes, 2015 	
character=Church Goer	name=Armand Daniels	episodes=2 episodes, 2015 	
character=Hospital Patient	name=Kyle Jordan	episodes=2 episodes, 2015 	
character=Young Matt Skokie	name=Trent Jolie	episodes=2 episodes, 2015 	
character=Barb Supporter	name=Mary Ann Elekes	episodes=2 episodes, 2015 	
character=Bar Patron	name=Jason Elinoff	episodes=2 episodes, 2015 	
character=Coffee Patron	name=Genie Anderson	episodes=2 episodes, 2015 	
character=Block Party Guest	name=Antonio López-Valero	episodes=2 episodes, 2015 	
character=Detective	name=Bobby Lee Osborn	episodes=2 episodes, 2015 	
character=Juvenile	name=Reed Neal	episodes=2 episodes, 2015 	
character=Friend	name=Ulysses Montoya	episodes=2 episodes, 2016 	
character=Mateo	name=Ulysses Montoya	episodes=2 episodes, 2016 	
character=Gala Patron	name=Alyssia Rivera	episodes=2 episodes, 2016 	
character=Teacher	name=Paulina Manseau	episodes=2 episodes, 2016 	
character=Parent	name=Diane Selken	episodes=2 episodes, 2016 	
character=Eagles Fan	name=Dreylin Butler	episodes=2 episodes, 2016 	
character=Parent	name=Sheryl Musgrove	episodes=2 episodes, 2016 	
character=Migrant Worker	name=Pablo Ramos	episodes=2 episodes, 2017 	
character=Nurse	name=Sheri Davis	episodes=1 episode, 2015 	
character=Bar Couple 	name=Christopher Corey Smith	episodes=1 episode, 2015 	
character=Guy	name=Christopher Corey Smith	episodes=1 episode, 2015 	
character=Block Party Guest	name=Tess Cline	episodes=1 episode, 2015 	
character=Churchgoer	name=Evan Materne	episodes=1 episode, 2015 	
character=Troublemaker 1	name=Jay Bowles	episodes=1 episode, 2015 	
character=Inmate	name=Hans Marrero	episodes=1 episode, 2015 	
character=Churchgoer	name=Deborah Abbott	episodes=1 episode, 2015 	
character=Corrections Officer	name=Joe Bunner	episodes=1 episode, 2015 	
character=Police Officer	name=Carl Thomas	episodes=1 episode, 2015 	
character=Bruce	name=Greg Dorchak	episodes=1 episode, 2015 	
character=Hipster Party Goer	name=Matt Blackwell	episodes=1 episode, 2015 	
character=EMT Coyote	name=Carlton Caudle	episodes=1 episode, 2015 	
character=Rod Miller	name=Jack O	episodes=1 episode, 2015 	
character=Rod Miller	name=Donnell	episodes=1 episode, 2015 	
character=Inmate	name=Gabriel Bush	episodes=1 episode, 2015 	
character=EMT Stein	name=Brian Elder	episodes=1 episode, 2015 	
character=Inmate	name=James Crowell	episodes=1 episode, 2015 	
character=Nurse	name=Jessica J. Immanuel	episodes=1 episode, 2015 	
character=Riot Officer	name=Brian Bogart	episodes=1 episode, 2015 	
character=Aliyah Supporter	name=Brandi Jamille Brown	episodes=1 episode, 2015 	
character=Police Officer	name=Stephen Latham	episodes=1 episode, 2015 	
character=Detective	name=Trish Unzicker	episodes=1 episode, 2015 	
character=Girl	name=Calli Jennings	episodes=1 episode, 2015 	
character=Jessie	name=Calli Jennings	episodes=1 episode, 2015 	
character=Hispanic Telemarketer	name=Gilberto Garcia	episodes=1 episode, 2015 	
character=Correctional Officer	name=Bruce Bennett	episodes=1 episode, 2015 	
character=Nurse	name=Erica Buitron	episodes=1 episode, 2015 	
character=Cop 2015	name=Sergio Gava	episodes=1 episode, 2015 	
character=Carter Supporter	name=Tootie Hall	episodes=1 episode, 2015 	
character=Dancer	name=Archie Fields	episodes=1 episode, 2015 	
character=Call Center Employee	name=Gerard Flores	episodes=1 episode, 2015 	
character=Boy 	name=Timothy Newton	episodes=1 episode, 2015 	
character=Defense Attorney	name=Chad Parma	episodes=1 episode, 2015 	
character=Deputy	name=Pietro Rotondi	episodes=1 episode, 2015 	
character=Nurse	name=Elle Klein	episodes=1 episode, 2015 	
character=Sheriff Baker	name=Zachary Gossett	episodes=1 episode, 2015 	
character=Driver	name=Gerald J. Garza	episodes=1 episode, 2015 	
character=Church Attendee	name=Lyn Jagger	episodes=1 episode, 2015 	
character=Richard	name=Ranier Langley	episodes=1 episode, 2015 	
character=Police Officer	name=Ryan Scharfenberg	episodes=1 episode, 2015 	
character=Receptionist	name=Tracey Ely	episodes=1 episode, 2015 	
character=Hip Party Guest	name=Joseph Legion Slade	episodes=1 episode, 2015 	
character=Call Center Worker	name=Sandy Romero	episodes=1 episode, 2015 	
character=Aliyah Supporter	name=Tiffanie Mims	episodes=1 episode, 2015 	
character=Block Party Guest	name=Olivia Young	episodes=1 episode, 2015 	
character=ICE Agent	name=Lance Taylor	episodes=1 episode, 2015 	
character=Pedestrian	name=David Gonzalez	episodes=1 episode, 2015 	
character=Block Party Guest	name=Shelby Merritt	episodes=1 episode, 2015 	
character=Churchgoer	name=George Renteria	episodes=1 episode, 2015 	
character=Bar Customer	name=Lee Allen	episodes=1 episode, 2015 	
character=Modesto Police Officer	name=Jack Leblond	episodes=1 episode, 2015 	
character=Mechanic	name=Benny Serrano	episodes=1 episode, 2015 	
character=Partygoer	name=Gazelle Garcia	episodes=1 episode, 2015 	
character=News Reporter	name=Blaire Clause	episodes=1 episode, 2015 	
character=Deputy Garrett	name=David Kulwin	episodes=1 episode, 2015 	
character=Aliyah Supporter	name=Annette Nunnally	episodes=1 episode, 2015 	
character=Nurse	name=Amanda Dianne	episodes=1 episode, 2015 	
character=Club Patron	name=Dell	episodes=1 episode, 2015 	
character=Club Patron	name=Kelsey O	episodes=1 episode, 2015 	
character=News Editor	name=Gene Cervenka	episodes=1 episode, 2015 	
character=Cop	name=Sergio Garcia	episodes=1 episode, 2015 	
character=Rave Girl	name=Zameika Edwards	episodes=1 episode, 2015 	
character=Call Center Worker	name=Brenda Li Garcia	episodes=1 episode, 2015 	
character=Correctional Officer	name=Kevin Tijerina	episodes=1 episode, 2015 	
character=Officer Lewis	name=Cody Tilton	episodes=1 episode, 2015 	
character=Bar Patron	name=Chasity Gibson	episodes=1 episode, 2015 	
character=Inmate	name=Dennis Ogle	episodes=1 episode, 2015 	
character=Dancer	name=Travis Carrillo	episodes=1 episode, 2015 	
character=Churchgoer	name=Clint McCreery	episodes=1 episode, 2015 	
character=Hospital Employee	name=Maria Dominguez	episodes=1 episode, 2015 	
character=Deputy	name=Juan Gabriel Moreno	episodes=1 episode, 2015 	
character=Friend	name=Ryan Green	episodes=1 episode, 2015 	
character=Matt Skokie	name=Ryan Green	episodes=1 episode, 2015 	
character=Cheerleader	name=Monroe Cline	episodes=1 episode, 2016 	
character=Selfie Girl	name=Jenny Babas	episodes=1 episode, 2016 	
character=Theater Patron	name=Marilyn Swick	episodes=1 episode, 2016 	
character=Cheerleader	name=Sadie Brook	episodes=1 episode, 2016 	
character=Judge Isaacs	name=Lawrence Varnado	episodes=1 episode, 2016 	
character=Attorney	name=Roquel La Fayette	episodes=1 episode, 2016 	
character=Youth	name=Derrick Gilbert	episodes=1 episode, 2016 	
character=Trina	name=Jessica Schwartz	episodes=1 episode, 2016 	
character=Student	name=Maddy Davidson	episodes=1 episode, 2016 	
character=Officer Nelson	name=Jeff Grossman	episodes=1 episode, 2016 	
character=Social Club Patron	name=Vivian Thompson	episodes=1 episode, 2016 	
character=Theater Patron	name=Cheryl Vienna	episodes=1 episode, 2016 	
character=Correction Officer	name=Michael L Garcia Jr.	episodes=1 episode, 2016 	
character=Student	name=Grant Giles	episodes=1 episode, 2016 	
character=Theatre Patron	name=Mike Hickman	episodes=1 episode, 2016 	
character=Basketball Fan	name=Chasiti Chambers	episodes=1 episode, 2016 	
character=Judge Isaacs	name=Teri Bibb	episodes=1 episode, 2016 	
character=Student Protestor	name=Hristiana Soula	episodes=1 episode, 2016 	
character=School Board Member	name=Don Vallee	episodes=1 episode, 2016 	
character=Gala Patron	name=Robert Mossbrooks	episodes=1 episode, 2016 	
character=High School Student	name=Alyssa Armes	episodes=1 episode, 2016 	
character=Print Reporter	name=Rickey Pinkney	episodes=1 episode, 2016 	
character=Gala Patron	name=Cheryl Bond Danks	episodes=1 episode, 2016 	
character=Bartender	name=Timothy Harmon	episodes=1 episode, 2016 	
character=Leyland School Board	name=Stacey Morris	episodes=1 episode, 2016 	
character=Parent	name=Jarrod Dixon	episodes=1 episode, 2016 	
character=Social Club Patron	name=Darren Sheehan	episodes=1 episode, 2016 	
character=Gala Patron	name=Patty Allieri	episodes=1 episode, 2016 	
character=Eagles Head Coach	name=Doug Shuffield	episodes=1 episode, 2016 	
character=Registration Officer	name=Michael A. Danburg	episodes=1 episode, 2016 	
character=Basketball Player	name=Ryder Maldonado	episodes=1 episode, 2016 	
character=Basketball Fan	name=Jennifer Davidson	episodes=1 episode, 2016 	
character=Student Administrator	name=Annabelle Jones	episodes=1 episode, 2016 	
character=Leyland Knight Fan	name=Fernando Duran	episodes=1 episode, 2016 	
character=Cocktail Party Guest	name=Blessing Obot	episodes=1 episode, 2016 	
character=Teacher	name=Jenna Peters	episodes=1 episode, 2016 	
character=Chola	name=Victoria Eloise Zunhiga	episodes=1 episode, 2016 	
character=Gala Patron	name=Daniel Amaral	episodes=1 episode, 2016 	
character=Gala Patron	name=Rinnah Moss	episodes=1 episode, 2016 	
character=Crying Student	name=Tristen Banuelos	episodes=1 episode, 2016 	
character=Crying Student	name=Scott Anthony Chase	episodes=1 episode, 2016 	
character=Wealthy Parent	name=Luba Shul	episodes=1 episode, 2016 	
character=Leyland Student	name=Clorissa Graupman	episodes=1 episode, 2016 	
character=Gala Patron	name=Richard Canfield	episodes=1 episode, 2016 	
character=Migrant Worker	name=Adelina Saldana	episodes=1 episode, 2017 	
character=Fan	name=Jared Podsednik	episodes=1 episode, 2017 	
character=Musician	name=Mark McConville	episodes=1 episode, 2017 	
character=Hesby Captain	name=Marcos De Silvas	episodes=1 episode, 2017 	
character=Pete	name=Pierce Minor	episodes=1 episode, 2017 	
character=Social Worker	name=LynNita Ellis	episodes=1 episode, 2017 	
character=Opera Patron	name=Kevyn Bashore	episodes=1 episode, 2017 	
character=Shelter Counselor	name=Lourdes Nadres	episodes=1 episode, 2017 	
character=Social Worker	name=Tiwana Floyd	episodes=1 episode, 2017 	
character=Waiter	name=Joe P. Harris	episodes=1 episode, 2017 	
character=Field Worker	name=Victor A Zaragoza Jr	episodes=1 episode, 2017 	
character=Marks	name=John M. Adrian	episodes=1 episode, 2017 	
character=Farmworker Boy	name=Julian Lerma	episodes=1 episode, 2017 	
character=Hotel Guest	name=Kee Broussard	episodes=1 episode, 2017 	
